기사제목,작성일,URL,score,숫자단위_매칭수,통계출처_언급,변화표현_매칭수
"관세 전쟁 후폭풍...OECD, 한국 성장률 전망 2.1%→1.5%로 낮췄다",2025-03-17,https://www.chosun.com/economy/economy_general/2025/03/17/LS3AQVUJ3RHYTKNITD5TX6THBE,243,228,False,15
6월 1~20일 수출 8.3% 증가... 반도체 21.8%↑ 車 9.2%↑,2025-06-23,https://www.chosun.com/economy/economy_general/2025/06/23/VRSULF3KLRDCXJYUXRMNW45AIY,238,167,True,68
한국 1분기 -0.2% 역성장 쇼크... 1년간 성장 멈췄다,2025-04-24,https://www.chosun.com/economy/economy_general/2025/04/24/RYSYX6BORRBE5GFWM4X74Z3QLA,238,220,False,18
美 관세 충격 영향에 4월 1~20일 수출 5.2% 감소...대미 수출은 1년 전보다 14.3% 급감,2025-04-21,https://www.chosun.com/economy/economy_general/2025/04/21/2GWDSTNBWBDRDNIWDPJDWFQFDE,230,171,False,59
코스피 3000에 올해 시총 500조원 불어나…‘1조 클럽’ 25개사 증가,2025-06-21,https://www.chosun.com/economy/money/2025/06/21/AGSEFDCATIND4Q54ZOW2YSPMYI,230,192,False,38
1월 취업자 13.5만명 늘어...노인 일자리 신속 집행에 일시 호조,2025-02-14,https://www.chosun.com/economy/economy_general/2025/02/14/CMQ2GGIF6NFVFOK7NS472SUCSM,229,168,True,58
출산율 9년 만에 반등… “앞으로 7년이 골든타임”,2025-02-27,https://www.chosun.com/economy/economy_general/2025/02/27/JSTSHA6HNJHELOV3RULNHTIZBI,229,170,True,56
작년 출생아 수 9년 만에 추락 멈췄다... 전년 대비 3.6% 늘어,2025-02-26,https://www.chosun.com/economy/economy_general/2025/02/26/5GBKUCD4IZBE7PA33W2SH2256A,228,162,True,63
전기차 ‘캐즘 쇼크’… 배터리 기업 10곳 영업익 반토막,2025-01-06,https://www.chosun.com/economy/industry-company/2025/01/06/BO3WGUVLFVHH3BXGQ3BHBBNZWU,226,189,False,37
"1월 출생아 2만4000명, 증가 폭 사상 최대",2025-03-27,https://www.chosun.com/economy/economy_general/2025/03/27/Q5A5W36TFJB7FKFW5P5B6LKYYI,225,176,True,46
"한화 계열사 4곳, 시총 증가율 톱10 진입",2025-04-29,https://www.chosun.com/economy/industry-company/2025/04/29/B75AYWXAW5EFVAMBXPLUIPLFFM,224,175,False,49
제조업 취업자 6년 만에 최대 감소,2025-05-15,https://www.chosun.com/economy/economy_general/2025/05/15/YJZYOKBKABHNNK6M34RI6QJREA,215,181,True,31
"현대차그룹, 미국 시장에서 2년 연속 최고 실적... 年 170만대 돌파",2025-01-05,https://www.chosun.com/economy/auto/2025/01/05/253WLIRTMRHZPM5JGBCLQCVX5M,214,200,False,14
금리 0.25%p 내린 한은... 관세 폭탄·내수 부진에 경기 살리기 선택,2025-02-25,https://www.chosun.com/economy/economy_general/2025/02/25/2RBIFVNKT5ELXID4FUQCFM63G4,213,174,True,36
금리 인상 판 깔아줬다… 은행에 떼돈 안겨다 준 관치금융,2025-04-17,https://www.chosun.com/economy/economy_general/2025/04/17/SRNX37MSDBFC7GIARK36YD65MM,209,168,False,41
작년 혼인 건수 15% 늘어...증가율 1970년 집계 이래 최고,2025-02-26,https://www.chosun.com/economy/economy_general/2025/02/26/GSSMZGGYMBGKXLHSR4WOOWUCQ4,204,147,True,54
25~34세 청년 취업자 1분기 3만명 넘게 줄어… 4년 만에 감소세 전환,2025-04-15,https://www.chosun.com/economy/economy_general/2025/04/15/POL2G36SVVA2TKNC5BVLK52A44,203,166,True,34
예금 1억원까지 보호막… 막 오른 241조 ‘머니 무브’,2025-05-16,https://www.chosun.com/economy/economy_general/2025/05/16/OLQ5BR7POJF5RMZEBPYR3QIMGY,200,188,False,12
현대차 年100만대 ‘美 관세 폭격’ 땐... 영업익 35% 줄어,2025-02-19,https://www.chosun.com/economy/auto/2025/02/19/JED6ZDX5LFHF5N4F3IGNW6UE7U,200,177,False,23
"현대차그룹, 올해 국내에 24.3조원 투자…역대 최대 규모",2025-01-09,https://www.chosun.com/economy/auto/2025/01/09/GIDKZBPVBREK7JSF6LYJLEGVYA,199,173,False,26
"요동치는 10대 그룹 시가총액… 신세계·HD현대 상승, 1위는?",2025-03-09,https://www.chosun.com/economy/money/2025/03/09/AD6LMXZJB5G4BDSM7FNR4NLLEI,199,137,False,62
‘관세쇼크’에 5월 1~10일 대미 수출 30.4% ‘급감’…전체 수출도 23.8% 감소,2025-05-12,https://www.chosun.com/economy/economy_general/2025/05/12/F7R2UFZ4ZFD3XFXBSUT7UQEX6Q,198,151,False,47
한국 11년째 갇힌 ‘3만달러 벽’… 美·英은 어떻게 뚫었나,2025-03-06,https://www.chosun.com/economy/economy_general/2025/03/06/5HV7ZTS6RBEK5BBZBNLJDPBZPY,197,195,False,2
“올 취업자수 최대 6만명 줄 것”… ‘인구 오너스 시대’ 오나,2025-02-24,https://www.chosun.com/economy/economy_general/2025/02/24/AXTTAUKCC5FQNGJDVW7EUZW55Y,197,134,True,60
"1분기 주식 재산 증가액, 방시혁·이재용·김승연 順",2025-04-10,https://www.chosun.com/economy/industry-company/2025/04/10/7JISI4IDURCLVKVQPNRQRMTCAU,196,160,False,36
"2분기 상장사 시총 532조 증가... SK하닉, 3개월새 73조↑",2025-07-07,https://www.chosun.com/economy/industry-company/2025/07/07/ETZIWDZ6T5GYLIOJXRICBO44AQ,196,145,False,51
‘1인당 15만원’ 전 국민 소비쿠폰 21일 지급 시작,2025-07-05,https://www.chosun.com/economy/economy_general/2025/07/05/QR4TFVXCOVBUBJT3WAP4N24GUE,194,189,True,2
"환율 안정이 우선… 韓銀, 기준금리 3% 동결",2025-01-17,https://www.chosun.com/economy/economy_general/2025/01/17/DUCC66IHF5EQJKWXBEBLBLINZ4,194,186,False,8
"한은, 올해 0%대 성장 전망…기준금리 2.5%로 내렸다",2025-05-29,https://www.chosun.com/economy/economy_general/2025/05/29/7W4XZWDXNVEFXBKKGONBEFNYNM,193,183,False,10
"결혼 늘고 정책 먹혔다... 1분기 합계출산율, 2년 만에 0.8명대 복귀",2025-05-28,https://www.chosun.com/economy/economy_general/2025/05/28/YCG67WTAFRH2JCK555W6H46K7Y,193,124,True,66
집 사려는 사람들 늘어나… 서울 집값 상승세 심상찮네,2025-06-14,https://www.chosun.com/economy/real_estate/2025/06/14/SFOBPH4EVVE53E7WTSAJMZDCHQ,193,117,False,76
DSR 규제 안 받는 대출 찾아 나선다,2025-06-18,https://www.chosun.com/economy/economy_general/2025/06/18/X6DQGTR6F5EK3CHCW66D7MNQCI,192,147,False,45
송전선 지나는 79개 마을... 괴담 맞서 1100번 만나 설득했다,2025-05-11,https://www.chosun.com/economy/industry-company/2025/05/11/SYLDXPE2RRHC3N5DBJLR3ZK7W4,192,176,False,16
생산·소비·투자 2달 만에 ‘트리플 증가’...설 연휴로 연초 경기 등락 커,2025-03-31,https://www.chosun.com/economy/economy_general/2025/03/31/7OFBJ6XSYZAL3MWER6FBINVWN4,191,86,True,102
"ADB, 韓 올해 성장률 2.0→1.5%...美 상호 관세에 추가 하향 우려도",2025-04-09,https://www.chosun.com/economy/economy_general/2025/04/09/4HVQMTOJJ5GULHPBFUBOZ4KCLM,191,181,False,10
"작년 경상수지 흑자 990억달러...전년보다 3배로↑,역대 두번째 규모",2025-02-06,https://www.chosun.com/economy/economy_general/2025/02/06/RO32ISHXHREYLO3V4B2GJHWXEI,189,134,False,55
빚 못 갚은 자영업자 늘어…'생계형’ 60대 이상 52% 급증,2025-02-16,https://www.chosun.com/economy/money/2025/02/16/3Y7VKQ3MB67CFT6VFWD7V6FDAA,189,153,False,36
"대기업 63%, 올해 ‘1300원대’ 환율 예상…“사업전략 수정 불가피”",2025-01-09,https://www.chosun.com/economy/industry-company/2025/01/09/2NW2WHPJBVCL3J4JIQVMASROPU,189,157,False,32
“환갑 넘겨도 일해야 돼요” 노인 취업자 첫 700만명,2025-06-12,https://www.chosun.com/economy/economy_general/2025/06/12/2VNVWIY73JHI7EB3XE4YNTYIVM,188,161,True,24
"KT, 상장 이후 최대 매출… 작년 영업익은 51% 감소",2025-02-13,https://www.chosun.com/economy/industry-company/2025/02/13/3GEUPSEDW5F6TGTH5KL3LYATQQ,188,147,False,41
"‘존리의 유산’ KCGI주니어펀드… 공모펀드 위축에도 꾸준히 자금 유입, 수익률은?",2025-05-05,https://www.chosun.com/economy/money/2025/05/05/GVQDYCTTAJAEEWGGIFAISN2VP4,188,172,False,16
깊어지는 내수 부진 늪… 지난달 생산 0.9% 늘었지만 소비·투자 동반 하락,2025-04-30,https://www.chosun.com/economy/economy_general/2025/04/30/ECFB26C2WBBRNAOG4TUKJOGIOM,187,92,True,92
연초 5대 은행서 2300여명 짐 쌌다…퇴직금 평균 5억원,2025-01-26,https://www.chosun.com/economy/money/2025/01/26/AOM6WMPHA47BQ5MVLT5OCCKZ7M,187,171,False,16
1~10일 수출 5.4% 증가... 대미 수출도 3.9% 늘어,2025-06-11,https://www.chosun.com/economy/economy_general/2025/06/11/BDA2MMKGDJAJNK3EKOWZYKHFSU,187,145,False,42
대장홍대선에 SK·대한항공 입주하는 부천 대장신도시…청약 본격화,2025-05-04,https://www.chosun.com/economy/realty/redevelop/2025/05/04/OELN3T5N62IM3B4P7ZL2MEFFPY,186,178,False,8
끝이 안 보이는 내수 부진… 소매 판매 21년 만에 최대 감소,2025-02-04,https://www.chosun.com/economy/economy_general/2025/02/04/54YXZORW2RA5FHIRI552AGTUY4,184,120,True,61
"4대 은행, 이자로 한해 34兆 쓸어 담았다… 대출 늘려 역대 최대 이익",2025-02-08,https://www.chosun.com/economy/money/2025/02/08/BMJVRHDOOCOTVRVZ2BQAJ2BBNE,184,128,False,56
"외국인, 주식 ‘셀 코리아’… 한국 채권은 ‘폭풍 매수’",2025-04-28,https://www.chosun.com/economy/economy_general/2025/04/28/NLSHMUL6FNERBLZNRC7MFY4B3U,184,147,False,37
10원짜리 만드는 데 40원?… 쓸일 없어 90%는 집에서 굴러다녀,2025-02-13,https://www.chosun.com/economy/economy_general/2025/02/13/E5QR6SBMHJGBJPO2JOTDVZNULI,183,173,False,10
월급쟁이가 낸 세금 첫 60조원 돌파… 법인세 육박,2025-02-18,https://www.chosun.com/economy/economy_general/2025/02/18/ACYHDWUYD5CGBP3AODXWYTSYVQ,182,132,True,47
4%로 떨어진 美 실업률...금리 인하 전망 줄어,2025-02-07,https://www.chosun.com/economy/economy_general/2025/02/07/X4YBFCHS5FGHTPPSUDTKHI6V7Q,182,147,False,35
대중-대미 수출 격차 21년 만 최소...트럼프 2기 미국 수출 1위 올라서나,2025-01-06,https://www.chosun.com/economy/economy_general/2025/01/06/BXDMXSYJWZDNDOGA5VONBDMCWY,182,150,False,32
채용·인력배치 로봇 혁명… “관리·설계직 더 뽑고 야근도 확 줄어”,2025-01-02,https://www.chosun.com/economy/economy_general/2025/01/02/A7CI5RF3WNDZ3IYINXCYLMBVS4,182,153,True,26
"상반기 외국인직접투자 신고액, 14.6% 감소... “美 관세, 국내 정치적 불안정 영향”",2025-07-03,https://www.chosun.com/economy/industry-company/2025/07/03/62ZV4BONDJD73KOVKLLI7AIT3I,181,145,False,36
“無알코올로 마셔요”… 술 시장 바꾸는 글로벌 MZ세대,2025-06-24,https://www.chosun.com/economy/industry-company/2025/06/24/WGB5XVP2ORAXPIAAGGB6XNXD44,181,167,False,14
"지난해 최고 인기 수입차는 테슬라 모델 Y...BMW 520, 벤츠 E200 뒤 이어",2025-01-06,https://www.chosun.com/economy/auto/2025/01/06/S27CLI355JFNZLDTKSS6EHCNPI,181,169,False,12
은행 파킹통장 금리도 연 2%대로 줄 인하… 주식·상호금융으로 ‘머니무브’,2025-03-23,https://www.chosun.com/economy/money/2025/03/23/32D6C25IUBHDBXNGTK3OFRXT7U,180,168,False,12
신규발급 3장 중 1장은 ‘장롱 카드’… 애꿎은 연회비만 오른다,2025-02-11,https://www.chosun.com/economy/economy_general/2025/02/11/SJANWAEUSNGMZA37GPPJABJILA,180,142,False,38
"완성차 5사, 내수마저 4개월새 꺾여… 실적 ‘빨간불’",2025-06-03,https://www.chosun.com/economy/auto/2025/06/03/TLR5CIGPBNGA7GFEENVJEVLPEU,179,127,False,52
1분기 가구당 月 소득 1년 새 4.5% 늘었지만 저소득층은 1.5% 줄어,2025-05-30,https://www.chosun.com/economy/economy_general/2025/05/30/PVQ5FXMBSFCETC4MIINOSK535M,178,133,True,42
"방산·고배당 ETF로 재미보긴 했는데... 한화운용, 점유율은 뒷걸음질",2025-03-08,https://www.chosun.com/economy/money/2025/03/08/ITZG6XFNTBGLKGJRY6I62TCUOU,178,158,False,20
"15일새 14배 폭등, ‘불나방’ 대선 테마주",2025-04-19,https://www.chosun.com/economy/economy_general/2025/04/19/5STRCMIPKJBZTE5DRQ6U4YXBAE,177,149,False,28
"IMF, 올해 한국 성장률 전망 석 달만에 2%→1%로 낮춰",2025-04-22,https://www.chosun.com/economy/economy_general/2025/04/22/NSCGHPW7KBHIDEWPG6AXEHNZUU,177,158,False,19
中 4월 소비자물가 작년比 0.1% 내려...3개월 연속 하락세,2025-05-10,https://www.chosun.com/economy/economy_general/2025/05/10/RY6HA23AKRAQ5ESOCKE4275KFQ,177,127,False,50
노인 고용률 OECD 1위지만...65세 근로자 3명 중 1명은 ‘단순 노무직’,2025-05-27,https://www.chosun.com/economy/economy_general/2025/05/27/NE3J4GIGIREKTLPROKLTL2NF3M,177,135,False,42
"물가 상승률 두 달 연속 2%대...치솟은 기름값, 물가 끌어 올려",2025-03-06,https://www.chosun.com/economy/economy_general/2025/03/06/IXLFBAQ5RFD7HKWH6T3LQXPQWA,177,127,True,47
“中공략” 오히려 독 됐다… 독일차 빅3 ‘날개 없는 추락’,2025-03-18,https://www.chosun.com/economy/auto/2025/03/18/TTC3KJ4CJFBK5L46OUK7VVIQ4E,174,150,False,24
"수출이 이끌고, 내수가 받치는 ‘K 성장공식’ 깨졌다",2025-05-30,https://www.chosun.com/economy/economy_general/2025/05/30/TJY63R4V55F3HOICGFQN6VAWUM,174,150,False,24
"기업, 시설 투자보다 월급 주려 대출받는다",2025-06-23,https://www.chosun.com/economy/economy_general/2025/06/23/XMRWOM762JGDHB6OVYHOSUWCE4,174,146,False,28
100엔당 1000원 시대… 엔화예금 1주새 565억엔 빠져,2025-04-11,https://www.chosun.com/economy/economy_general/2025/04/11/C2X6PUWPEFC3FORTUPWOUJIY3E,172,149,False,23
혼인·출생 10개월 연속 동반 상승...33년 반 만에 처음,2025-06-25,https://www.chosun.com/economy/economy_general/2025/06/25/J4AIHVS7QBB7VHAJLWWLM3WXCI,172,116,True,53
"해외는… 美 3.5억원, 英 1.5억원, 日 9590만원 한도",2025-05-16,https://www.chosun.com/economy/economy_general/2025/05/16/73BP4SANTVBYRN2UDU2GQH5UBM,172,164,False,8
1월 자동차 수출 줄었지만 하이브리드차 수출은 35% 증가,2025-02-18,https://www.chosun.com/economy/industry-company/2025/02/18/3752GX6GLVAGFCIZAPNZLLGDWE,171,121,False,50
"국내 車 생산, 세계 7위로 추락… 멕시코에도 밀렸다",2025-03-11,https://www.chosun.com/economy/auto/2025/03/11/BD2YKP6KLNGMHHMTNOZSSXUYTQ,171,131,False,40
올해 나랏빚 증가 폭 126조 ‘역대 최대’,2025-07-11,https://www.chosun.com/economy/economy_general/2025/07/11/LFBUMYUIJFG5BL7EQTTR2YOBKE,171,137,True,31
"개인 투자용 국채, 3월부터 年 구매한도 2억으로 늘어",2025-01-23,https://www.chosun.com/economy/economy_general/2025/01/23/XKJ7W6OCBFH5TEUV7DVKRHN5NM,171,147,False,24
반도체 덕에… 지난해 수출 6838억달러 역대 최대,2025-01-02,https://www.chosun.com/economy/economy_general/2025/01/02/6MYGM52QIVHUJBIZYYFBUW5IQM,170,131,True,36
추경 32조… ‘경제 만능 카드’ 아니다,2025-07-05,https://www.chosun.com/economy/economy_general/2025/07/05/ZEQTRNMDC5FBVONJP7PWPBHWOI,170,131,True,36
물가상승률 석 달째 2%대...업체들 줄인상에 가공식품·외식 가격 ↑,2025-04-02,https://www.chosun.com/economy/economy_general/2025/04/02/EZEOHOZC5NBBHKNEXYWAAYWO24,170,140,True,27
"ESS, 전기차 캐즘 한파 ‘대피소’ 됐다",2025-01-14,https://www.chosun.com/economy/industry-company/2025/01/14/GK7MZVMO4NDKJBYPHI6ZAS75OQ,169,150,False,19
"반도체로 2만불, 車로 3만불 시대… ‘4만불 엔진’ 안 보인다",2025-04-29,https://www.chosun.com/economy/economy_general/2025/04/29/FCDYUDVVLZFO3GHS4SZZ2HLIMM,169,161,False,8
"추락하는 성장률, 내수 살려 떠받친다",2025-01-03,https://www.chosun.com/economy/economy_general/2025/01/03/FS5OTJUQ7RC5JIPD2GEHE7U47Q,169,151,False,18
냉장고·에어컨·TV 사면 10% 환급… 7월 4일 구매분부터,2025-07-05,https://www.chosun.com/economy/economy_general/2025/07/05/4CGTV2FXPBFE7DVPHFPFKB22EQ,169,161,True,5
어! 6개월 예금 금리가 2년짜리보다 높네,2025-06-13,https://www.chosun.com/economy/economy_general/2025/06/13/UPQWEHKPIJAN7J7GAGHAJAZ5UE,169,155,False,14
"한은 총재 “1%대 성장이 우리 실력”...10대 수출품, 20년간 8개가 그대로였다",2025-02-27,https://www.chosun.com/economy/economy_general/2025/02/27/W6QLB6O6ERAOLDIFGFVRXR5N2U,168,162,False,6
"中 BYD, 초고속 충전기 1만 5000개 설치한다",2025-06-02,https://www.chosun.com/economy/auto/2025/06/02/ERIZQZHDYBHWDL6IEMCCZUBVHQ,168,148,False,20
"1분기 민생 회복에 17.5조, 경기 진작에 12.4조 투입한다",2025-01-09,https://www.chosun.com/economy/economy_general/2025/01/09/S5RRXHJEX5ACPP7MEQPBYSCHEU,168,164,False,4
2주일 새 골드바 406억원어치 팔렸다…전년比 20배 ‘폭증’,2025-02-16,https://www.chosun.com/economy/money/2025/02/16/6BV5B25PBLQPYUOCWE6QWJNZPA,167,149,False,18
"간신히 5% 찍은 中 성장률, 올해는 ‘트럼프 관세’ 먹구름",2025-01-18,https://www.chosun.com/economy/economy_general/2025/01/18/47BFYPJXONF7RIF22SP3KAKCFU,166,156,False,10
올해 전기차 보조금 지급액 작년보다 대당 70만원 줄어,2025-01-22,https://www.chosun.com/economy/auto/2025/01/22/GA5ITDUCUFCMRM4LBISSB6VBQE,166,156,False,10
손자에게 3억5000만원 물려줄 때 세금...5000만원vs3600만원,2025-02-22,https://www.chosun.com/economy/money/2025/02/22/4KGH74XCDREJ5CBXAA5HSZTOLU,165,165,False,0
"주식시장 안 본다는 트럼프, 국채금리에 목매는 까닭은",2025-03-11,https://www.chosun.com/economy/economy_general/2025/03/11/IKLT4ZQKPNBH5POKAR5DTC2J7A,165,136,False,29
"기업 투명성 개선 카드인데… 국민연금, 국내 의결권 행사 3년 연속 감소",2025-04-06,https://www.chosun.com/economy/money/2025/04/06/ARZHEIGXGLVDFJZUBDDLDK3JIA,165,133,False,32
3년 만에 年1%대 예금 금리… 대출은 4%대 요지부동,2025-05-14,https://www.chosun.com/economy/economy_general/2025/05/14/I5TLS37Y2VFOTAH3M5IIMEUGVY,165,160,False,5
"들썩이는 부동산 탓, 5월 가계대출 6조원 폭증",2025-06-11,https://www.chosun.com/economy/economy_general/2025/06/11/RDSUF474IFFDTA4U5JCJNW4QM4,165,107,False,58
"“쉬는 게 버는 것?”… 70대 초보 사장, 매출은 3050의 절반",2025-05-16,https://www.chosun.com/economy/economy_general/2025/05/16/Q6AP76HLH5BWPPK7H4LMK24LBE,164,130,False,34
"케이뱅크, 이자이익 나홀로 -20%… 업비트 의존 ‘발목’",2025-05-21,https://www.chosun.com/economy/economy_general/2025/05/21/BKZO5BH23NBX7D2QJWR4JGYHVI,164,135,False,29
소비 쿠폰 이달부터 1인 15만~55만원씩,2025-07-05,https://www.chosun.com/economy/economy_general/2025/07/05/XAZD6RBE4ZARXOKQCTTIE3R4XQ,164,146,False,18
은행원 평균 연봉 1억2000만원… 퇴직금 ‘12억원’ 사례도,2025-03-23,https://www.chosun.com/economy/money/2025/03/23/6LPZRITN7ZQMBG4Y5V2BDILZGA,164,162,False,2
당국 규제에도 펄펄 끓는 주담대… 지난달 5.6조 급증,2025-06-12,https://www.chosun.com/economy/economy_general/2025/06/12/VCKXZWTLQNFE7CLYPDR6ROMK3U,164,88,False,76
대내외 악재에도 코스피 상장사 1분기 영업이익 23% 늘어,2025-05-20,https://www.chosun.com/economy/economy_general/2025/05/20/KOA5DEYFTJDL3HIWD4J2KLZHDY,162,130,False,32
美 관세 폭탄에 자동차 정책금융 2조·수출 바우처 1000억 긴급 수혈,2025-04-09,https://www.chosun.com/economy/economy_general/2025/04/09/PYWHCJBEFBFA5KKOJJEGR7GTUM,162,146,False,16
올 성장률 1.5%→0.8% 조정 쇼크... 건설 경기 부진이 성장 발목 잡았다,2025-05-29,https://www.chosun.com/economy/economy_general/2025/05/29/JDD7BSFMTNAI7GE67TOVVFDLEY,161,159,False,2
120만대 ‘메이드 인 USA’ 첫발… “4월 2일 이후가 중요”,2025-03-28,https://www.chosun.com/economy/auto/2025/03/28/CB3WOT3O4JEZTLLQRNXBHYA3SU,161,147,False,14
환율이 먼저…경기 둔화 우려에도 금리 동결 택한 한은,2025-01-16,https://www.chosun.com/economy/economy_general/2025/01/16/GYTUJFPBEVAUFP6S4QBQ3RYSDQ,161,155,False,6
세계 첫 인허가 받고도 탈원전 5년에 ‘발목’… SMR 자체 개발 시급,2025-01-18,https://www.chosun.com/economy/industry-company/2025/01/18/75AJGXCLA5FRVFRX74R4CXRXL4,161,145,False,16
"서두르는 트럼프, 버티는 시진핑…다가오는 스태그플레이션 그림자",2025-04-25,https://www.chosun.com/economy/economy_general/2025/04/25/TCX6HGLEI5DHDL7TNZCFORC5ZY,161,117,False,44
"현대차, 1분기 매출 역대 최대 44조",2025-04-25,https://www.chosun.com/economy/auto/2025/04/25/IYHUIHAT5NCBRAS5LOJ7XVATYQ,161,128,False,33
그래도 결혼은 11개월째 늘어,2025-04-24,https://www.chosun.com/economy/economy_general/2025/04/24/LVTPH6GRPJHYTDZKQLARLSAKYU,161,103,True,55
장진호 전투 때 숨진 미군… 75년 뒤 그 아들이 ‘평화의 사도’ 메달 받아,2025-05-22,https://www.chosun.com/economy/economy_general/2025/05/22/JH32ZONIP5EE3A7W2NSZEHGBWU,161,161,False,0
"작년 ‘꼴찌’ 韓 증시, 올해는 다르다… 연초 코스닥 수익률 6.86%",2025-01-19,https://www.chosun.com/economy/money/2025/01/19/5EEEHUH22K7OKFPPTMGXTMEDAQ,160,150,False,10
‘5G 요금 1만원대’에 알뜰폰 가입자 증가세,2025-04-15,https://www.chosun.com/economy/industry-company/2025/04/15/QNVCNGG7GREPDKAM4DKA5PS4EU,160,125,False,35
‘직원 한 명에 로봇 수십 대’… 이젠 로봇이 공장 움직인다,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/TGA2SHZ4SFACHOHRP36OUPCMHE,160,152,False,8
6월 수출 깜짝 반등,2025-06-24,https://www.chosun.com/economy/economy_general/2025/06/24/ENJAOC2OZ5ATREU6RH753F4NXI,160,97,True,60
“對美 수출 50%가 美 제조업 부흥·MAGA 위한 것”,2025-01-24,https://www.chosun.com/economy/industry-company/2025/01/24/B2VTXBPKAJCRBN2E3LVAVYALP4,160,120,False,40
도소매·건설업 부진에 20대 이하·40대 일자리 집계 이래 최대 폭 감소,2025-02-19,https://www.chosun.com/economy/economy_general/2025/02/19/SI6AI3ZZVJGNTL3TYFHWMMNUEQ,160,99,True,58
"한국은행, “올해 경제성장률 1.6~1.7%로 0.2%p 내려갈 듯”",2025-01-20,https://www.chosun.com/economy/economy_general/2025/01/20/OWWYOWVNL5GGVMJCFXODDXXTK4,159,152,False,7
韓·獨·日은 마이너스… 중국 車만 20~40% 성장,2025-02-10,https://www.chosun.com/economy/auto/2025/02/10/CJKKHZFZ4VELJACFU6OAG43RQE,159,115,False,44
지난달 IT 수출액 늘었지만… 對中 반도체 수출은 30% ‘뚝’,2025-03-16,https://www.chosun.com/economy/industry-company/2025/03/16/YTIMRXZ7Z5EUFFJHJSX6EFBY3U,159,114,False,45
90년대생 결혼 늘자 출산율 다시 0.8명대,2025-05-29,https://www.chosun.com/economy/economy_general/2025/05/29/4U6B4YZJFFBRFFDJZFYTZWWI5A,159,124,True,32
아이스크림·과자·빵 연초부터 줄줄이 인상,2025-02-08,https://www.chosun.com/economy/market_trend/2025/02/08/VKMD5V4GUNB7DHG7CRYUQ2DRII,159,148,False,11
트럼프 관세 부과에 2600 무너진 코스피,2025-03-29,https://www.chosun.com/economy/money/2025/03/29/LQK6W6GMJVERZHNOKO5H3VQ474,158,136,False,22
스타벅스 안 되고 다이소는 된다… 15만~55만원 소비쿠폰 사용처 일문일답,2025-07-05,https://www.chosun.com/economy/economy_general/2025/07/05/MVU73TM4KVHPZPUPAU5OY4XWWQ,158,150,True,5
"미 증시, 하루 만에 강세로 반등... 저가 매수세 몰려",2025-03-01,https://www.chosun.com/economy/industry-company/2025/03/01/SDEOUZX3AZEHHLZH65JUKDLAXA,158,136,False,22
"한국 1분기 성장률, 주요 19국 중 꼴찌…글로벌 IB의 올해 한국 성장 전망 평균 0.8%로 ‘뚝’",2025-05-11,https://www.chosun.com/economy/economy_general/2025/05/11/NSAL2IUAUFED5OJRWVUHRM45BU,158,153,False,5
금리 인하 전망에도 ‘역주행’하는 주요국 국채 금리,2025-01-13,https://www.chosun.com/economy/economy_general/2025/01/13/SVO6GMBSBFG5NMXGOJLXPCL624,157,141,False,16
