claim_id,claim_measurement_id,indicator,metric_domain,industry_or_item,value,unit,raw_unit,unit_dimension,semantic_type,entity_type,value_type,direction,measurement_role,measurement_usage,period,prd_se,change_base,comparison_period,candidate_rank,candidate_score,candidate_runner_up_score,candidate_status,candidate_status_code,candidate_status_reason,candidate_hits,retrieval_backend,lexical_score,lexical_eligible,semantic_score,reranker_score,fusion_score,org_id,tbl_id,tbl_name,stat_id,category_path,meta_candidates,selected_itm_id,selected_itm_name,selected_itm_unit,selected_itm_score,selected_obj_l1_axis_id,selected_obj_l1_axis_name,selected_obj_l1,selected_obj_l1_name,selected_obj_l1_score,selected_code_status,mapping_type,unit_compatibility_reason,claim_text
A0006-C001,A0006-C001-m1,수출액,무역,-,683800000000,달러,달러,currency,amount,unspecified,수준값,증가,현재값,KOSIS_VALUE,2024,Y,전년동기,,1,404,100,READY,READY,통계표·ITEM·OBJ·단위 의미 확정,"수출액,품목별,수출,수입,무역",lexical,404.0,Y,,,,360,DT_1R11001_FRM101,"품목별 수출액, 수입액",1976045,SITC에의한무역통계,품목별:총액[13102112831A.A]/item=N/score=30 | 항목:수출액[13103112831T1]/item=Y/score=30 | 품목별:기타 우표 또는 수입인지우편요금 별납증지우편엽서[13102112831A.89649]/item=N/score=26 | 품목별:기타(우표 또는 수입인지 우편요금 별납증지  초일봉투 우편엽서(엽서) 및 이와 유사  )[13102112831A.89640]/item=N/score=26 | 품목별:우표 또는 수입인지 우편요금 별납증지  초일봉투 우편엽서(엽서) 및 이와 유사  [13102112831A.8964]/item=N/score=26 | 품목별:우표수입인지 또는 이와 유사한 물품  (우리나라에서 통용 또는 발행된 것  으로서 사[13102112831A.89283]/item=N/score=26 | 품목별:기타 여성 전체 또는 무릎길이 스타킹(면사 67decitex 이하)[13102112831A.84625]/item=N/score=20 | 품목별:동물(어류 제외)의 장 방광이나 위의 전체     또는 단편 [13102112831A.29193]/item=N/score=20,13103112831T1,수출액,천달러,140,13101112831A,품목별,13102112831A.A,총액,32,itm/obj 후보 선택,direct,,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.
A0006-C001,A0006-C001-m1,수출액,무역,-,683800000000,달러,달러,currency,amount,unspecified,수준값,증가,현재값,KOSIS_VALUE,2024,Y,전년동기,,2,100,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"수출액,수출,수입,국가별,무역",lexical,100.0,Y,,,,360,DT_1R11006_FRM101,"국가별 수출액, 수입액",1976045,SITC에의한무역통계,항목:수출액[13103103829T1]/item=Y/score=30 | 국가별:전체국가[13102103829E.XY]/item=N/score=8 | 항목:수입액[13103103829T2]/item=Y/score=8 | 국가별:E.U.[13102103829E.EU]/item=N/score=6 | 국가별:가나[13102103829E.GH]/item=N/score=6 | 국가별:가봉[13102103829E.GA]/item=N/score=6 | 국가별:가이아나[13102103829E.GY]/item=N/score=6 | 국가별:감비아[13102103829E.GM]/item=N/score=6,13103103829T1,수출액,천달러,140,13101103829E,국가별,13102103829E.00,계,7,itm/obj 후보 선택,direct,,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.
A0006-C001,A0006-C001-m1,수출액,무역,-,683800000000,달러,달러,currency,amount,unspecified,수준값,증가,현재값,KOSIS_VALUE,2024,Y,전년동기,,3,96,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"수출액,품목별,수출",lexical,96.0,Y,,,,466,DT_446001_A027,쌀가루 생산판매 현황 : 품목별 수출액 - 총계,2024007,쌀가공식품제조업실태조사 > 쌀가공식품제조업,사업체특성별:주 생산 품목별(소분류)[A02]/item=N/score=18 | 사업체특성별:전체[A01]/item=N/score=2 | 판매현황별:전체[B03]/item=N/score=2,,,,,A,사업체특성별,A02,주 생산 품목별(소분류),17,itm/obj 후보 선택,,,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.
A0006-C001,A0006-C001-m1,수출액,무역,-,683800000000,달러,달러,currency,amount,unspecified,수준값,증가,현재값,KOSIS_VALUE,2024,Y,전년동기,,4,90,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"품목별,수출,실적",lexical,90.0,Y,,,,434,DT_434_STBL_1028692,게임기기 품목별 수출입 실적,2016058,문화체육관광산업통계 > 수출입 실적 현황,품목별:게임기기[131021274021.001]/item=N/score=18 | 품목별:비디오 게임용구[131021274021.002]/item=N/score=18 | 품목별:전자식 게임용구[131021274021.003]/item=N/score=18 | 통계분류:무역수지[131021274022.003]/item=N/score=12 | 통계분류:수출[131021274022.001]/item=N/score=12 | 통계분류:수입[131021274022.002]/item=N/score=8 | 통계분류:실적[131021274022.001001]/item=N/score=6 | 통계분류:실적[131021274022.002001]/item=N/score=6,,,,,131011274021,품목별,131021274021.001,게임기기,17,itm/obj 후보 선택,,,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.
A0006-C001,A0006-C001-m1,수출액,무역,-,683800000000,달러,달러,currency,amount,unspecified,수준값,증가,현재값,KOSIS_VALUE,2024,Y,전년동기,,5,90,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"품목별,수출,실적",lexical,90.0,Y,,,,434,DT_434_STBL_1028682,공예품 품목별 수출입 실적,2016058,문화체육관광산업통계 > 수출입 실적 현황,품목별:공예품[131021273861.001]/item=N/score=18 | 품목별:기타공예품[131021273861.009]/item=N/score=18 | 품목별:도자공예품[131021273861.002]/item=N/score=18 | 품목별:목공예품[131021273861.003]/item=N/score=18 | 품목별:수산공예품[131021273861.004]/item=N/score=18 | 품목별:유리공예품[131021273861.005]/item=N/score=18 | 품목별:장신구(액세서리)[131021273861.006]/item=N/score=18 | 품목별:조화[131021273861.007]/item=N/score=18,,,,,131011273861,품목별,131021273861.001,공예품,17,itm/obj 후보 선택,,,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.
A0006-C006,A0006-C006-m1,수입 증감률,무역,-,1.6,%,%,rate,rate_change,unspecified,증감률,감소,증감률,KOSIS_VALUE,2024,Y,전년,2023,1,444,150,READY,READY,통계표·ITEM·OBJ·단위 의미 확정,"품목별,수입액,수출액,수입,수출,무역",lexical,444.0,Y,,,,360,DT_1R11001_FRM101,"품목별 수출액, 수입액",1976045,SITC에의한무역통계,품목별:기타 우표 또는 수입인지우편요금 별납증지우편엽서[13102112831A.89649]/item=N/score=30 | 품목별:기타(우표 또는 수입인지 우편요금 별납증지  초일봉투 우편엽서(엽서) 및 이와 유사  )[13102112831A.89640]/item=N/score=30 | 품목별:우표 또는 수입인지 우편요금 별납증지  초일봉투 우편엽서(엽서) 및 이와 유사  [13102112831A.8964]/item=N/score=30 | 품목별:우표수입인지 또는 이와 유사한 물품  (우리나라에서 통용 또는 발행된 것  으로서 사[13102112831A.89283]/item=N/score=30 | 품목별:총액[13102112831A.A]/item=N/score=30 | 항목:수입액[13103112831T2]/item=Y/score=30 | 항목:수출액[13103112831T1]/item=Y/score=28 | 품목별:전기에너지 [13102112831A.3510]/item=N/score=21,13103112831T2,수입액,천달러,150,13101112831A,품목별,13102112831A.A,총액,57,itm/obj 후보 선택,rate_from_level,KOSIS 수준값에서 증감률 계산 필요,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.
A0006-C006,A0006-C006-m1,수입 증감률,무역,-,1.6,%,%,rate,rate_change,unspecified,증감률,감소,증감률,KOSIS_VALUE,2024,Y,전년,2023,2,150,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"수입액,무역,수입,수출,무역수지",lexical,150.0,Y,,,,145,DT_145009_026,"국내 의약품 생산·수출·수입액, 무역수지, 시장규모",2016008,의약품생산및수출수입실적 > 수출입 현황,항목:수입액[T003]/item=Y/score=30 | 항목:수출액[T002]/item=Y/score=28 | 항목:무역수지[T004]/item=Y/score=24,T003,수입액,억원,150,13999000,가상분류,DATA,데이터,2,itm/obj 후보 선택,rate_from_level,KOSIS 수준값에서 증감률 계산 필요,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.
A0006-C006,A0006-C006-m1,수입 증감률,무역,-,1.6,%,%,rate,rate_change,unspecified,증감률,감소,증감률,KOSIS_VALUE,2024,Y,전년,2023,3,140,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"수입액,수출액,수입,수출,국가별,무역",lexical,140.0,Y,,,,360,DT_1R11006_FRM101,"국가별 수출액, 수입액",1976045,SITC에의한무역통계,항목:수입액[13103103829T2]/item=Y/score=30 | 항목:수출액[13103103829T1]/item=Y/score=28 | 국가별:전체국가[13102103829E.XY]/item=N/score=8 | 국가별:E.U.[13102103829E.EU]/item=N/score=6 | 국가별:가나[13102103829E.GH]/item=N/score=6 | 국가별:가봉[13102103829E.GA]/item=N/score=6 | 국가별:가이아나[13102103829E.GY]/item=N/score=6 | 국가별:감비아[13102103829E.GM]/item=N/score=6,13103103829T2,수입액,천달러,150,13101103829E,국가별,13102103829E.00,계,7,itm/obj 후보 선택,rate_from_level,KOSIS 수준값에서 증감률 계산 필요,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.
A0006-C006,A0006-C006-m1,수입 증감률,무역,-,1.6,%,%,rate,rate_change,unspecified,증감률,감소,증감률,KOSIS_VALUE,2024,Y,전년,2023,4,128,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"수입액,무역,수입,수출,무역수지",lexical,128.0,Y,,,,145,DT_145014_013,"위생용품 생산·수출·수입액 무역수지, 시장규모",2019072,위생용품산업현황 > 위생용품 산업현황 총괄,항목:수입액[T004]/item=Y/score=30 | 항목:수출액[T003]/item=Y/score=28 | 항목:무역수지[T005]/item=Y/score=24 | 항목:수입점유율[T007]/item=Y/score=12,T004,수입액,백만원,150,13999000,가상분류,DATA,데이터,2,itm/obj 후보 선택,rate_from_level,KOSIS 수준값에서 증감률 계산 필요,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.
A0006-C006,A0006-C006-m1,수입 증감률,무역,-,1.6,%,%,rate,rate_change,unspecified,증감률,감소,증감률,KOSIS_VALUE,2024,Y,전년,2023,5,128,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"수입액,무역,수입,수출,무역수지",lexical,128.0,Y,,,,145,DT_14508_007,"의료기기 생산·수출·수입액, 무역수지, 시장규모",2014001,의료기기생산실적 > 의료기기 생산실적 총괄,항목:의료기기 생산·수출·수입액 무역수지 시장규모[T001]/item=Y/score=64 | 구분별:무역수지[04]/item=N/score=24 | 구분별:수입[03]/item=N/score=12 | 구분별:수출[02]/item=N/score=10,T001,의료기기 생산·수출·수입액 무역수지 시장규모,백만원,150,01,구분별,03,수입,12,itm/obj 후보 선택,rate_from_level,KOSIS 수준값에서 증감률 계산 필요,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.
A0006-C007,A0006-C007-m1,무역수지,무역,-,69700000000,달러,달러,currency,amount,unspecified,수준값,유지,현재값,KOSIS_VALUE,2018,Y,전년,,1,508,508,REVIEW,FORMULA_REQUIRED,수출액-수입액 계산식 매핑이 필요함,"수출액,수입액,품목별,수출,수입,무역",lexical,508.0,Y,,,,360,DT_1R11001_FRM101,"품목별 수출액, 수입액",1976045,SITC에의한무역통계,품목별:총액[13102112831A.A]/item=N/score=30 | 항목:수출액[13103112831T1]/item=Y/score=28 | 품목별:기타 우표 또는 수입인지우편요금 별납증지우편엽서[13102112831A.89649]/item=N/score=22 | 품목별:기타(우표 또는 수입인지 우편요금 별납증지  초일봉투 우편엽서(엽서) 및 이와 유사  )[13102112831A.89640]/item=N/score=22 | 품목별:우표 또는 수입인지 우편요금 별납증지  초일봉투 우편엽서(엽서) 및 이와 유사  [13102112831A.8964]/item=N/score=22 | 품목별:우표수입인지 또는 이와 유사한 물품  (우리나라에서 통용 또는 발행된 것  으로서 사[13102112831A.89283]/item=N/score=22 | 항목:수입액[13103112831T2]/item=Y/score=22 | 품목별: 불이나 웨이퍼 반도체 장비 또는 집적회로 평면판표시장치 제조를 위한 기계 및 기구[13102112831A.72821]/item=N/score=18,13103112831T2,수입액,천달러,60,13101112831A,품목별,13102112831A.A,총액,7,itm/obj 후보 선택,direct,,이에 2018년(697억 달러 흑자) 이후 최대 흑자를 기록하게 됐다.
A0006-C007,A0006-C007-m1,무역수지,무역,-,69700000000,달러,달러,currency,amount,unspecified,수준값,유지,현재값,KOSIS_VALUE,2018,Y,전년,,2,508,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"수출액,수입액,품목별,수출,수입,무역",lexical,508.0,Y,,,,360,DT_1R11001_FRM101_2019,"품목별 수출액, 수입액",1976045,SITC에의한무역통계,품목별:총액[13102103825A.0]/item=N/score=30 | 항목:수출액[13103103825T1]/item=Y/score=28 | 항목:수입액[13103103825T2]/item=Y/score=22 | 품목별: 전기기계장치와 기기[13102103825A.77]/item=N/score=18 | 품목별:1차 산품[13102103825A.01]/item=N/score=18 | 품목별:IT제품[13102103825A.04]/item=N/score=18 | 품목별:가구 및 부분품;침대에트리스쿠션[13102103825A.82]/item=N/score=18 | 품목별:가죽제품 및 손질모피[13102103825A.61]/item=N/score=18,13103103825T2,수입액,천달러,60,13101103825A,품목별,13102103825A.0,총액,7,itm/obj 후보 선택,direct,,이에 2018년(697억 달러 흑자) 이후 최대 흑자를 기록하게 됐다.
A0006-C007,A0006-C007-m1,무역수지,무역,-,69700000000,달러,달러,currency,amount,unspecified,수준값,유지,현재값,KOSIS_VALUE,2018,Y,전년,,3,260,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"무역,무역수지,국가별",lexical,260.0,Y,,,,127,DT_DEA0001_S10502,주요 국가별 기술별 기술무역수지 추이,2003037,기술무역통계 > 기술무역수지현황,항목:주요 국가별 기술별 기술무역수지 추이[T001]/item=Y/score=42 | 국가별:기타[1611213103200038T13]/item=N/score=6 | 국가별:네덜란드[1611213103200038T8]/item=N/score=6 | 국가별:독일[1611213103200038T4]/item=N/score=6 | 국가별:말레이시아[1611213103200038T11]/item=N/score=6 | 국가별:멕시코[1611213103200038T12]/item=N/score=6 | 국가별:미국[1611213103200038T2]/item=N/score=6 | 국가별:싱가포르[1611213103200038T7]/item=N/score=6,,,,,1511213101200038A,기술별,1511213102200038A.0017,건설교통,2,itm/obj 후보 선택,,,이에 2018년(697억 달러 흑자) 이후 최대 흑자를 기록하게 됐다.
A0006-C007,A0006-C007-m1,무역수지,무역,-,69700000000,달러,달러,currency,amount,unspecified,수준값,유지,현재값,KOSIS_VALUE,2018,Y,전년,,4,260,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"무역,무역수지,국가별",lexical,260.0,Y,,,,127,DT_DCA0001_S10502,주요 국가별 산업별 기술무역수지 추이,2003037,기술무역통계 > 기술무역수지현황,항목:주요 국가별 산업별 기술무역수지 추이[T001]/item=Y/score=42 | 국가별:기타[1611213103200036T13]/item=N/score=6 | 국가별:네덜란드[1611213103200036T8]/item=N/score=6 | 국가별:독일[1611213103200036T4]/item=N/score=6 | 국가별:말레이시아[1611213103200036T11]/item=N/score=6 | 국가별:멕시코[1611213103200036T12]/item=N/score=6 | 국가별:미국[1611213103200036T2]/item=N/score=6 | 국가별:싱가포르[1611213103200036T7]/item=N/score=6,,,,,1511213101200036A,산업별,1511213102200036A.0007,건설,2,itm/obj 후보 선택,,,이에 2018년(697억 달러 흑자) 이후 최대 흑자를 기록하게 됐다.
