claim_id,claim_measurement_id,indicator,metric_domain,industry_or_item,value,unit,raw_unit,unit_dimension,semantic_type,entity_type,value_type,direction,measurement_role,measurement_usage,period,article_date,prd_se,change_base,comparison_period,candidate_rank,candidate_score,candidate_runner_up_score,candidate_status,candidate_status_code,candidate_status_reason,candidate_hits,retrieval_backend,lexical_score,lexical_eligible,semantic_score,reranker_score,fusion_score,org_id,tbl_id,tbl_name,stat_id,category_path,meta_candidates,selected_itm_id,selected_itm_name,selected_itm_unit,selected_itm_score,selected_obj_l1_axis_id,selected_obj_l1_axis_name,selected_obj_l1,selected_obj_l1_name,selected_obj_l1_score,selected_code_status,mapping_type,unit_compatibility_reason,claim_text
A0004-C034,A0004-C034-m1,로봇 활용 비율,생산·산업,-,100,%,%,rate,,,비중,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,1,264,240,REJECT,NO_COMPATIBLE_ITEM,단위·지표 의미가 맞는 ITEM 없음,"로봇,생산,산업,제조업,제조",lexical,264.0,Y,,,,401,DT_373002_001,"제조업용 로봇 생산 현황_기계구조, 적용산업별",2006203,로봇산업실태조사,기계구조및적용산업별:제조업[B0202]/item=N/score=26 | 기계구조및적용산업별:기타 로봇[B0106]/item=N/score=24 | 기계구조및적용산업별:다관절 로봇[B0103]/item=N/score=24 | 기계구조및적용산업별:리니어 로봇[B0101]/item=N/score=24 | 기계구조및적용산업별:병렬형 로봇[B0104]/item=N/score=24 | 기계구조및적용산업별:스카라 로봇[B0102]/item=N/score=24 | 기계구조및적용산업별:원통형 로봇[B0105]/item=N/score=24 | 기계구조및적용산업별:교육 연구 및 개발[B0203]/item=N/score=12,,,,,B,기계구조및적용산업별,B0106,기타 로봇,12,itm/obj 후보 선택,,,중소·중견 기업의 제조·물류 과정에서도 ‘로봇 100%’는 이미 실현되고 있다.
A0004-C034,A0004-C034-m1,로봇 활용 비율,생산·산업,-,100,%,%,rate,,,비중,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,2,240,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업,제조업,제조",lexical,240.0,Y,,,,401,DT_373002_002,"제조업용 로봇 출하 현황_기계구조, 적용산업별",2006203,로봇산업실태조사,기계구조및적용산업별:제조업[B0202]/item=N/score=26 | 기계구조및적용산업별:기타 로봇[B0106]/item=N/score=24 | 기계구조및적용산업별:다관절 로봇[B0103]/item=N/score=24 | 기계구조및적용산업별:리니어 로봇[B0101]/item=N/score=24 | 기계구조및적용산업별:병렬형 로봇[B0104]/item=N/score=24 | 기계구조및적용산업별:스카라 로봇[B0102]/item=N/score=24 | 기계구조및적용산업별:원통형 로봇[B0105]/item=N/score=24 | 기계구조및적용산업별:교육 연구 및 개발[B0203]/item=N/score=12,,,,,B,기계구조및적용산업별,B0106,기타 로봇,12,itm/obj 후보 선택,,,중소·중견 기업의 제조·물류 과정에서도 ‘로봇 100%’는 이미 실현되고 있다.
A0004-C034,A0004-C034-m1,로봇 활용 비율,생산·산업,-,100,%,%,rate,,,비중,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,3,236,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,생산,산업",lexical,236.0,Y,,,,401,DT_401001_002,로봇산업 생산 현황,2006203,로봇산업실태조사,특성별:기타 제조업용 로봇제조[A0108]/item=N/score=26 | 특성별:제조업용 로봇[A01]/item=N/score=26 | 특성별:제조업용 로봇시스템 제조[A0501]/item=N/score=26 | 특성별:가사용 로봇제조[A0301]/item=N/score=14 | 특성별:개인 건강관리용 로봇제조[A0302]/item=N/score=14 | 특성별:개인여가·오락·취미용 및 감성교감 로봇제조[A0303]/item=N/score=14 | 특성별:건설용 로봇제조[A0204]/item=N/score=14 | 특성별:공작물 장착 및 탈착용 로봇제조[A0102]/item=N/score=14,,,,,A,특성별,A0301,가사용 로봇제조,12,itm/obj 후보 선택,,,중소·중견 기업의 제조·물류 과정에서도 ‘로봇 100%’는 이미 실현되고 있다.
A0004-C034,A0004-C034-m1,로봇 활용 비율,생산·산업,-,100,%,%,rate,,,비중,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,4,236,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,생산,산업",lexical,236.0,Y,,,,401,DT_401N_013,로봇산업 생산 현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,meta 없음,,,중소·중견 기업의 제조·물류 과정에서도 ‘로봇 100%’는 이미 실현되고 있다.
A0004-C034,A0004-C034-m1,로봇 활용 비율,생산·산업,-,100,%,%,rate,,,비중,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,5,236,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,생산,산업",lexical,236.0,Y,,,,401,DT_401N_001,로봇산업 생산현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,meta 없음,,,중소·중견 기업의 제조·물류 과정에서도 ‘로봇 100%’는 이미 실현되고 있다.
A0004-C036,A0004-C036-m1,로봇화 비율,생산·산업,자동차 조향 장치 부품,50,%,%,rate,,,비중,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,1,386,254,REVIEW,CODESET_REQUIRED,자동차 집계용 OBJ 코드셋이 필요함,"로봇,비율,자동화,전체,자동차,공장",lexical,386.0,Y,,,,336,DT_336003N_ICT_004,전체 자동화 설비 중 제조용 로봇의 비율,2006021,사업체패널조사 > 자동차와 스마트공장,항목:비율[T001]/item=Y/score=10 | 특성별:100~299인[C0202]/item=N/score=3 | 특성별:500인 이상[C0204]/item=N/score=2 | 특성별:전체[C01]/item=N/score=2,T001,비율,%,40,C,특성별,C01,전체,7,itm/obj 후보 선택,direct,,"이곳은 전체 공정의 50%를 로봇화했고, 주요 공정은 100% 로봇화를 달성했다."
A0004-C036,A0004-C036-m1,로봇화 비율,생산·산업,자동차 조향 장치 부품,50,%,%,rate,,,비중,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,2,254,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"생산,산업,로봇,제조업",lexical,254.0,Y,,,,401,DT_373002_001,"제조업용 로봇 생산 현황_기계구조, 적용산업별",2006203,로봇산업실태조사,기계구조및적용산업별:제조업[B0202]/item=N/score=24 | 기계구조및적용산업별:기타 로봇[B0106]/item=N/score=22 | 기계구조및적용산업별:다관절 로봇[B0103]/item=N/score=22 | 기계구조및적용산업별:리니어 로봇[B0101]/item=N/score=22 | 기계구조및적용산업별:병렬형 로봇[B0104]/item=N/score=22 | 기계구조및적용산업별:스카라 로봇[B0102]/item=N/score=22 | 기계구조및적용산업별:원통형 로봇[B0105]/item=N/score=22 | 기계구조및적용산업별:교육 연구 및 개발[B0203]/item=N/score=12,,,,,A,특성별,A00,전체,7,itm/obj 후보 선택,,,"이곳은 전체 공정의 50%를 로봇화했고, 주요 공정은 100% 로봇화를 달성했다."
A0004-C036,A0004-C036-m1,로봇화 비율,생산·산업,자동차 조향 장치 부품,50,%,%,rate,,,비중,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,3,230,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"생산,산업,로봇",lexical,230.0,Y,,,,401,DT_401001_002,로봇산업 생산 현황,2006203,로봇산업실태조사,특성별:로봇용 감지(센싱)장치 및 관련 부품제조[A0403]/item=N/score=30 | 특성별:기타 제조업용 로봇제조[A0108]/item=N/score=22 | 특성별:제조업용 로봇[A01]/item=N/score=22 | 특성별:제조업용 로봇시스템 제조[A0501]/item=N/score=22 | 특성별:기타 로봇 부품제조[A0406]/item=N/score=20 | 특성별:로봇 구동용 부품제조[A0402]/item=N/score=20 | 특성별:로봇 구조용 부품제조[A0401]/item=N/score=20 | 특성별:로봇 제어용 부품제조[A0404]/item=N/score=20,,,,,A,특성별,A0403,로봇용 감지(센싱)장치 및 관련 부품제조,22,itm/obj 후보 선택,,,"이곳은 전체 공정의 50%를 로봇화했고, 주요 공정은 100% 로봇화를 달성했다."
A0004-C036,A0004-C036-m1,로봇화 비율,생산·산업,자동차 조향 장치 부품,50,%,%,rate,,,비중,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,4,230,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"생산,산업,로봇",lexical,230.0,Y,,,,401,DT_401N_013,로봇산업 생산 현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,meta 없음,,,"이곳은 전체 공정의 50%를 로봇화했고, 주요 공정은 100% 로봇화를 달성했다."
A0004-C036,A0004-C036-m1,로봇화 비율,생산·산업,자동차 조향 장치 부품,50,%,%,rate,,,비중,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,5,230,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"생산,산업,로봇",lexical,230.0,Y,,,,401,DT_401N_001,로봇산업 생산현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,meta 없음,,,"이곳은 전체 공정의 50%를 로봇화했고, 주요 공정은 100% 로봇화를 달성했다."
A0004-C036,A0004-C036-m2,로봇화 비율,생산·산업,주요 공정,100,%,%,rate,,,비중,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,1,254,230,REJECT,NO_COMPATIBLE_ITEM,단위·지표 의미가 맞는 ITEM 없음,"생산,산업,로봇,제조업",lexical,254.0,Y,,,,401,DT_373002_001,"제조업용 로봇 생산 현황_기계구조, 적용산업별",2006203,로봇산업실태조사,기계구조및적용산업별:제조업[B0202]/item=N/score=24 | 기계구조및적용산업별:기타 로봇[B0106]/item=N/score=22 | 기계구조및적용산업별:다관절 로봇[B0103]/item=N/score=22 | 기계구조및적용산업별:리니어 로봇[B0101]/item=N/score=22 | 기계구조및적용산업별:병렬형 로봇[B0104]/item=N/score=22 | 기계구조및적용산업별:스카라 로봇[B0102]/item=N/score=22 | 기계구조및적용산업별:원통형 로봇[B0105]/item=N/score=22 | 기계구조및적용산업별:교육 연구 및 개발[B0203]/item=N/score=12,,,,,A,특성별,A00,전체,7,itm/obj 후보 선택,,,"이곳은 전체 공정의 50%를 로봇화했고, 주요 공정은 100% 로봇화를 달성했다."
A0004-C036,A0004-C036-m2,로봇화 비율,생산·산업,주요 공정,100,%,%,rate,,,비중,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,2,230,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"생산,산업,로봇",lexical,230.0,Y,,,,401,DT_401001_002,로봇산업 생산 현황,2006203,로봇산업실태조사,특성별:기타 제조업용 로봇제조[A0108]/item=N/score=22 | 특성별:제조업용 로봇[A01]/item=N/score=22 | 특성별:제조업용 로봇시스템 제조[A0501]/item=N/score=22 | 특성별:생명공학기술 공정용 로봇제조[A0106]/item=N/score=20 | 특성별:가사용 로봇제조[A0301]/item=N/score=10 | 특성별:개인 건강관리용 로봇제조[A0302]/item=N/score=10 | 특성별:개인서비스용 로봇[A03]/item=N/score=10 | 특성별:개인여가·오락·취미용 및 감성교감 로봇제조[A0303]/item=N/score=10,,,,,A,특성별,A0106,생명공학기술 공정용 로봇제조,12,itm/obj 후보 선택,,,"이곳은 전체 공정의 50%를 로봇화했고, 주요 공정은 100% 로봇화를 달성했다."
A0004-C036,A0004-C036-m2,로봇화 비율,생산·산업,주요 공정,100,%,%,rate,,,비중,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,3,230,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"생산,산업,로봇",lexical,230.0,Y,,,,401,DT_401N_013,로봇산업 생산 현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,meta 없음,,,"이곳은 전체 공정의 50%를 로봇화했고, 주요 공정은 100% 로봇화를 달성했다."
A0004-C036,A0004-C036-m2,로봇화 비율,생산·산업,주요 공정,100,%,%,rate,,,비중,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,4,230,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"생산,산업,로봇",lexical,230.0,Y,,,,401,DT_401N_001,로봇산업 생산현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,meta 없음,,,"이곳은 전체 공정의 50%를 로봇화했고, 주요 공정은 100% 로봇화를 달성했다."
A0004-C036,A0004-C036-m2,로봇화 비율,생산·산업,주요 공정,100,%,%,rate,,,비중,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,5,230,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"산업,로봇,제조업",lexical,230.0,Y,,,,401,DT_373002_002,"제조업용 로봇 출하 현황_기계구조, 적용산업별",2006203,로봇산업실태조사,기계구조및적용산업별:제조업[B0202]/item=N/score=24 | 기계구조및적용산업별:기타 로봇[B0106]/item=N/score=22 | 기계구조및적용산업별:다관절 로봇[B0103]/item=N/score=22 | 기계구조및적용산업별:리니어 로봇[B0101]/item=N/score=22 | 기계구조및적용산업별:병렬형 로봇[B0104]/item=N/score=22 | 기계구조및적용산업별:스카라 로봇[B0102]/item=N/score=22 | 기계구조및적용산업별:원통형 로봇[B0105]/item=N/score=22 | 기계구조및적용산업별:교육 연구 및 개발[B0203]/item=N/score=12,,,,,A,특성별,A00,전체,7,itm/obj 후보 선택,,,"이곳은 전체 공정의 50%를 로봇화했고, 주요 공정은 100% 로봇화를 달성했다."
A0004-C042,A0004-C042-m1,로봇 도입 현황,생산·산업,다관절 로봇,5,대,대,count,,,수준값,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,1,276,256,REJECT,NO_COMPATIBLE_ITEM,단위·지표 의미가 맞는 ITEM 없음,"로봇,산업,생산,현황,제조업",lexical,276.0,Y,,,,401,DT_373002_001,"제조업용 로봇 생산 현황_기계구조, 적용산업별",2006203,로봇산업실태조사,기계구조및적용산업별:다관절 로봇[B0103]/item=N/score=42 | 기계구조및적용산업별:기타 로봇[B0106]/item=N/score=24 | 기계구조및적용산업별:리니어 로봇[B0101]/item=N/score=24 | 기계구조및적용산업별:병렬형 로봇[B0104]/item=N/score=24 | 기계구조및적용산업별:스카라 로봇[B0102]/item=N/score=24 | 기계구조및적용산업별:원통형 로봇[B0105]/item=N/score=24 | 기계구조및적용산업별:제조업[B0202]/item=N/score=24 | 기계구조및적용산업별:교육 연구 및 개발[B0203]/item=N/score=12,,,,,B,기계구조및적용산업별,B0103,다관절 로봇,37,itm/obj 후보 선택,,,이곳에서 물티슈를 포장하고 싣는 모든 과정은 이제 다관절 로봇 5대가 해결한다.
A0004-C042,A0004-C042-m1,로봇 도입 현황,생산·산업,다관절 로봇,5,대,대,count,,,수준값,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,2,256,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업,현황,제조업",lexical,256.0,Y,,,,401,DT_373002_002,"제조업용 로봇 출하 현황_기계구조, 적용산업별",2006203,로봇산업실태조사,기계구조및적용산업별:다관절 로봇[B0103]/item=N/score=42 | 기계구조및적용산업별:기타 로봇[B0106]/item=N/score=24 | 기계구조및적용산업별:리니어 로봇[B0101]/item=N/score=24 | 기계구조및적용산업별:병렬형 로봇[B0104]/item=N/score=24 | 기계구조및적용산업별:스카라 로봇[B0102]/item=N/score=24 | 기계구조및적용산업별:원통형 로봇[B0105]/item=N/score=24 | 기계구조및적용산업별:제조업[B0202]/item=N/score=24 | 기계구조및적용산업별:교육 연구 및 개발[B0203]/item=N/score=12,,,,,B,기계구조및적용산업별,B0103,다관절 로봇,37,itm/obj 후보 선택,,,이곳에서 물티슈를 포장하고 싣는 모든 과정은 이제 다관절 로봇 5대가 해결한다.
A0004-C042,A0004-C042-m1,로봇 도입 현황,생산·산업,다관절 로봇,5,대,대,count,,,수준값,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,3,252,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업,생산,현황",lexical,252.0,Y,,,,401,DT_401001_002,로봇산업 생산 현황,2006203,로봇산업실태조사,특성별:기타 제조업용 로봇제조[A0108]/item=N/score=24 | 특성별:제조업용 로봇[A01]/item=N/score=24 | 특성별:제조업용 로봇시스템 제조[A0501]/item=N/score=24 | 특성별:가사용 로봇제조[A0301]/item=N/score=12 | 특성별:개인 건강관리용 로봇제조[A0302]/item=N/score=12 | 특성별:개인서비스용 로봇[A03]/item=N/score=12 | 특성별:개인여가·오락·취미용 및 감성교감 로봇제조[A0303]/item=N/score=12 | 특성별:건설용 로봇제조[A0204]/item=N/score=12,T002,사업체수,개,30,A,특성별,A0301,가사용 로봇제조,22,itm/obj 후보 선택,direct,,이곳에서 물티슈를 포장하고 싣는 모든 과정은 이제 다관절 로봇 5대가 해결한다.
A0004-C042,A0004-C042-m1,로봇 도입 현황,생산·산업,다관절 로봇,5,대,대,count,,,수준값,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,4,252,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업,생산,현황",lexical,252.0,Y,,,,401,DT_401N_013,로봇산업 생산 현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,meta 없음,,,이곳에서 물티슈를 포장하고 싣는 모든 과정은 이제 다관절 로봇 5대가 해결한다.
A0004-C042,A0004-C042-m1,로봇 도입 현황,생산·산업,다관절 로봇,5,대,대,count,,,수준값,-,현재값,KOSIS_VALUE,2025,2025-01-01,Y,-,,5,252,,ALTERNATE,NOT_TOP_TABLE,후순위 통계표 후보,"로봇,산업,생산,현황",lexical,252.0,Y,,,,401,DT_401N_001,로봇산업 생산현황,2006203,로봇산업실태조사,meta_index 없음 또는 코드명 매칭 없음,,,,,,,,,,meta 없음,,,이곳에서 물티슈를 포장하고 싣는 모든 과정은 이제 다관절 로봇 5대가 해결한다.
A0004-C043,A0004-C043-m1,생산량 증가율,생산·산업,물티슈 및 위생용품,38,%,%,rate,,,비중,증가,현재값,KOSIS_VALUE,2025,2025-01-01,Y,전년,,1,240,240,REJECT,NO_COMPATIBLE_ITEM,단위·지표 의미가 맞는 ITEM 없음,"위생용품,생산,산업",lexical,240.0,Y,,,,145,DT_145014_021,위생용품 업종별 생산실적 현황,2019072,위생용품산업현황 > 위생용품 생산·판매(국내)·수출입 실적 현황,위생용품산업별:위생용품제조업[A01]/item=N/score=36 | 위생용품산업별:위생물수건처리업[A02]/item=N/score=30 | 항목:생산량[T001]/item=Y/score=28 | 항목:생산액[T002]/item=Y/score=10,,,,,A,위생용품산업별,A02,위생물수건처리업,22,itm/obj 후보 선택,,,이곳 관계자는 “로봇 자동화를 통해 생산량은 로봇을 들이기 이전보다 38% 올라갔고 원가도 45%가량 줄일 수 있었다”고 했다.
