claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_indicator,claim_industry_or_item,item_ungrounded,dropped_item,claim_period,claim_prd_se,period_span_start,period_span_end,period_aggregation,raw_measurement_period,period_alignment_status,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_eligible,in_ready,mapping_exclusion_code,mapping_exclusion_reason,mapping_gate,mapping_gate_reason,enrichment_actions,scope_gate_code,scope_gate_reason,scope_gate_severity,scope_gate_blocked
A2681-SP30B42ECECF,A2681-SP30B42ECECF-m3,A2681,"다문화 혼인 5% 증가, 전체 혼인 10건 중 1건은 다문화 결혼",45967.0,https://www.chosun.com/economy/economy_general/2025/11/06/ICMO6ZPTDVFSNKDVKFZJT2F77U/,다문화 출생(1만3416명)은 전년 대비 10.4%(1266명) 증가했다.,다문화 이혼을 한 부부의 평균 결혼 생활 기간은 10년 3개월로 전년 대비 0.2년 증가했다.,2014년(2만1200명) 이후 해마다 감소하며 2023년 1만2200명까지 줄었다가 지난해에 다시 반등했다.,국내공식통계,Y,인구,다문화 출생 증감값,"다문화, 출생, 전년 대비, 증가",-,-,-,,-,-,-,2024,-,Y,확정,1266명,KOSIS_VALUE,hcx,다문화 출생 증감값,-,2023,Y,hcx,증감값,1266,-,-,N,명,증감량,증가,전년,다문화 출생(1만3416명)은 전년 대비 10.4%(1266명) 증가했다.,high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,다문화 출생,,N,,2023,Y,,,,2023,RELATIVE_CONTEXT_TO_PUBLICATION_YEAR,명,명,person_count,absolute_change,unspecified,2023,Y,Y,,,READY,ELIGIBLE,,,,,N
A1019-SP67B37A8EED,A1019-SP67B37A8EED-m1,A1019,‘연상녀·연하남’ 초혼 부부 비중 19.9% 역대 최대,45736.0,https://www.chosun.com/economy/economy_general/2025/03/20/KH26XILK7FGYPGUVBBDUA2B3OU,특히 부부 모두 초혼인 신혼부부 중 아내가 연상인 경우는 3만5600건으로 전체 초혼 건수의 19.9%를 차지했다.,"이 가운데 아내와 남편 모두 초혼인 건수는 17만8700건(80.4%)으로, 지난 2000년(81.9%) 이후 24년 만에 80%선을넘었다.","이는 지난 1990년 관련 통계 작성 이래 최대치로, 1990년 당시 아내가 연상인 초혼 비중이 8.8%에 그쳤던 것과 비교하면 2.3배 불어난 규모다.",국내공식통계,Y,인구,아내가 연상인 초혼 건수,"초혼, 신혼부부, 연상, 연하, 비중, 역대 최대",-,-,-,,-,-,-,2024,-,Y,확정,3만5600건,KOSIS_VALUE,hcx,아내가 연상인 초혼 건수,-,2024,Y,hcx,현재값,35600,-,-,N,건,수준값,-,전년,특히 부부 모두 초혼인 신혼부부 중 아내가 연상인 경우는 3만5600건으로 전체 초혼 건수의 19.9%를 차지했다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,아내가 연상인 초혼 비율,,N,,2024,Y,,,,2024,,건,건,count,count,unspecified,,Y,Y,,,READY,ELIGIBLE,,,,,N
A1019-SPF30CC6C344,A1019-SPF30CC6C344-m1,A1019,‘연상녀·연하남’ 초혼 부부 비중 19.9% 역대 최대,45736.0,https://www.chosun.com/economy/economy_general/2025/03/20/KH26XILK7FGYPGUVBBDUA2B3OU,"반대로 남편이 연상인 경우는 11만3400건(63.5%)으로, 1990년 통계 작성 이후 가장 낮은 비율을 보였다.","이는 지난 1990년 관련 통계 작성 이래 최대치로, 1990년 당시 아내가 연상인 초혼 비중이 8.8%에 그쳤던 것과 비교하면 2.3배 불어난 규모다.",아내와 남편이 동갑인 초혼 건수는 2만9800건(16.7%)이었다.,국내공식통계,Y,인구,남편이 연상인 경우의 건수,"초혼, 부부, 비율, 남편, 연상",-,-,-,,-,-,-,2024,-,Y,확정,11만3400건,KOSIS_VALUE,hcx,남편이 연상인 경우의 건수,-,2024,Y,hcx,현재값,113400,-,-,N,건,수준값,-,전년,"반대로 남편이 연상인 경우는 11만3400건(63.5%)으로, 1990년 통계 작성 이후 가장 낮은 비율을 보였다.",high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,남편이 연상인 경우의 비율,,N,,2024,Y,,,,2024,,건,건,count,count,unspecified,,Y,Y,,,READY,ELIGIBLE,,,,,N
A1019-SP52F58EB041,A1019-SP52F58EB041-m1,A1019,‘연상녀·연하남’ 초혼 부부 비중 19.9% 역대 최대,45736.0,https://www.chosun.com/economy/economy_general/2025/03/20/KH26XILK7FGYPGUVBBDUA2B3OU,아내와 남편이 동갑인 초혼 건수는 2만9800건(16.7%)이었다.,"반대로 남편이 연상인 경우는 11만3400건(63.5%)으로, 1990년 통계 작성 이후 가장 낮은 비율을 보였다.",초혼인 연상녀와 연하남이 결혼한 신혼부부 중 아내가 남편보다 10살 이상 많은 경우도 400건에 달했다.,국내공식통계,Y,인구,아내와 남편이 동갑인 초혼 건수,"초혼, 부부, 동갑, 혼인 통계",-,-,-,,-,-,-,2024,-,Y,확정,2만9800건,KOSIS_VALUE,hcx,아내와 남편이 동갑인 초혼 건수,-,2024,Y,hcx,현재값,29800,-,-,N,건,수준값,-,전년,아내와 남편이 동갑인 초혼 건수는 2만9800건(16.7%)이었다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,아내와 남편이 동갑인 초혼 건수,,N,,2024,Y,,,,2024,,건,건,count,count,unspecified,,Y,Y,,,READY,ELIGIBLE,,,,,N
A2686-SPA255D86131,A2686-SPA255D86131-m2,A2686,"경제지표는 올랐지만… 국민 “불행하고, 사회 신뢰 안 해”",45968.0,https://health.chosun.com/site/data/html_dir/2025/11/07/2025110702781.html,"지난 2024년 2·4분기 한국의 GDP 성장률은 마이너스 0.2%에서 2025년 같은 기간, 0.7%로 회복세다.",경제 성장률이 회복세임에도 국민들의 체감은 이를 따라가지 못하고 있는 것이다.,"보고서는 “한국 경제가 올해 빠르게 회복하고 있지만, 한 번 얼어붙은 국민들의 마음은 좀처럼 활력을 찾지 못하는 것으로 보인다”며 “경제, 사회, 삶을 바라보는 국민들의 부정적 심리가 그 어느 때보다 커 이들의 마음, 신뢰 회복이 절실하다”고 했다.",국내공식통계,Y,생산·산업,GDP 성장률,"경제성장률, 회복세",-,-,-,,-,-,-,2025,-,Y,확정,0.7%,KOSIS_VALUE,hcx,GDP 성장률,-,2025,Y,hcx,현재값,0.7,-,-,N,%,수준값,증가,전분기,"지난 2024년 2·4분기 한국의 GDP 성장률은 마이너스 0.2%에서 2025년 같은 기간, 0.7%로 회복세다.",high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,GDP 성장률,,N,,2025Q2,Q,,,,2025,,%,%,rate,level,unspecified,,Y,Y,,,READY,ELIGIBLE,,,,,N
A2386-SP2A759FCB9B,A2386-SP2A759FCB9B-m1,A2386,"1955년엔 전쟁 여파 ‘불구 상태’, 2020년부터는 ‘혼자 산 기간’ 조사",45842.0,https://www.chosun.com/economy/economy_general/2025/07/04/3TM7NWTGMBHMBB7OVKWWMTLA6E,0 ‘1930년 국민 77.8%(1589만여 명)가 글을 읽거나 쓸 줄 모르는 문맹 상태. 1970년 피아노와 오르간을 보유한 가구는 6만872가구에 불과….’,-,통계청이 올해 인구주택총조사(센서스) 시행 100년을 맞아 시대별로 사용해왔던 인구조사 주요 항목들을 추려 3일 발표했다.,국내공식통계,N,인구,문맹률,"국민, 문맹 상태, 피아노, 오르간, 가구",-,-,-,,-,-,-,1930,-,Y,확정,77.8%,KOSIS_VALUE,hcx,문맹률,-,1930,Y,hcx,현재값,77.8,-,-,N,%,비중,-,전년,'1930년 국민 77.8%(1589만여 명)가 글을 읽거나 쓸 줄 모르는 문맹 상태. 1970년 피아노와 오르간을 보유한 가구는 6만872가구에 불과….',high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,"문맹률, 피아노와 오르간 보유 가구 수",,N,,"1930, 1970",Y,,,,1930,,%,%,rate,level,household,,Y,Y,,,READY,ELIGIBLE,,,,,N
A2386-SP2A759FCB9B,A2386-SP2A759FCB9B-m2,A2386,"1955년엔 전쟁 여파 ‘불구 상태’, 2020년부터는 ‘혼자 산 기간’ 조사",45842.0,https://www.chosun.com/economy/economy_general/2025/07/04/3TM7NWTGMBHMBB7OVKWWMTLA6E,0 ‘1930년 국민 77.8%(1589만여 명)가 글을 읽거나 쓸 줄 모르는 문맹 상태. 1970년 피아노와 오르간을 보유한 가구는 6만872가구에 불과….’,-,통계청이 올해 인구주택총조사(센서스) 시행 100년을 맞아 시대별로 사용해왔던 인구조사 주요 항목들을 추려 3일 발표했다.,국내공식통계,N,인구,문맹 인구,"국민, 문맹 상태, 피아노, 오르간, 가구",-,-,-,,-,-,-,1930,-,Y,확정,1589만여 명,KOSIS_VALUE,hcx,문맹 인구,-,1930,Y,hcx,현재값,15890000,-,-,Y,명,수준값,-,전년,'1930년 국민 77.8%(1589만여 명)가 글을 읽거나 쓸 줄 모르는 문맹 상태. 1970년 피아노와 오르간을 보유한 가구는 6만872가구에 불과….',high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,"문맹률, 피아노와 오르간 보유 가구 수",,N,,"1930, 1970",Y,,,,1930,,명,명,person_count,count,person,,Y,Y,,,READY,ELIGIBLE,,,,,N
A2386-SP2A759FCB9B,A2386-SP2A759FCB9B-m3,A2386,"1955년엔 전쟁 여파 ‘불구 상태’, 2020년부터는 ‘혼자 산 기간’ 조사",45842.0,https://www.chosun.com/economy/economy_general/2025/07/04/3TM7NWTGMBHMBB7OVKWWMTLA6E,0 ‘1930년 국민 77.8%(1589만여 명)가 글을 읽거나 쓸 줄 모르는 문맹 상태. 1970년 피아노와 오르간을 보유한 가구는 6만872가구에 불과….’,-,통계청이 올해 인구주택총조사(센서스) 시행 100년을 맞아 시대별로 사용해왔던 인구조사 주요 항목들을 추려 3일 발표했다.,국내공식통계,N,인구,피아노와 오르간 보유 가구 수,"국민, 문맹 상태, 피아노, 오르간, 가구",-,-,-,,-,-,-,1970,-,Y,확정,6만872가구,KOSIS_VALUE,hcx,피아노와 오르간 보유 가구 수,-,1970,Y,hcx,현재값,60872,-,-,N,가구,수준값,-,전년,'1930년 국민 77.8%(1589만여 명)가 글을 읽거나 쓸 줄 모르는 문맹 상태. 1970년 피아노와 오르간을 보유한 가구는 6만872가구에 불과….',high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,"문맹률, 피아노와 오르간 보유 가구 수",,N,,"1930, 1970",Y,,,,1970,,가구,가구,count,count,household,,Y,Y,,,READY,ELIGIBLE,,,,,N
A2386-SPEF2A048C61,A2386-SPEF2A048C61-m1,A2386,"1955년엔 전쟁 여파 ‘불구 상태’, 2020년부터는 ‘혼자 산 기간’ 조사",45842.0,https://www.chosun.com/economy/economy_general/2025/07/04/3TM7NWTGMBHMBB7OVKWWMTLA6E,"6·25전쟁 직후 진행된 1955년 조사에서는 전쟁으로 인한 부상자를 파악하기 위해 ‘불구 상태’(실명, 손발 절단 여부 등)를 최초로 조사했다. 당시 남녀 17만5177명이 신체 불구자로 집계됐다.",정부는 일제강점기였던 1925년 간이국세조사라는 명칭으로 최초로 인구 조사를 시작했다.,이는 당시 추계 인구(2150만2386명)의 0.8%였다.,국내공식통계,N,인구,신체 불구자,"전쟁, 불구 상태, 인구 조사",-,-,-,,-,-,-,1955,-,Y,확정,17만5177명,KOSIS_VALUE,hcx,신체 불구자,-,1955,Y,hcx,현재값,175177,-,-,N,명,수준값,-,-,"6·25전쟁 직후 진행된 1955년 조사에서는 전쟁으로 인한 부상자를 파악하기 위해 ‘불구 상태’(실명, 손발 절단 여부 등)를 최초로 조사했다. 당시 남녀 17만5177명이 신체 불구자로 집계됐다.",high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,신체 불구자,,N,,1955,Y,,,,1955,,명,명,person_count,count,unspecified,,Y,Y,,,READY,ELIGIBLE,,,,,N
A2386-SPF5FEB2E6F5,A2386-SPF5FEB2E6F5-m1,A2386,"1955년엔 전쟁 여파 ‘불구 상태’, 2020년부터는 ‘혼자 산 기간’ 조사",45842.0,https://www.chosun.com/economy/economy_general/2025/07/04/3TM7NWTGMBHMBB7OVKWWMTLA6E,이는 당시 추계 인구(2150만2386명)의 0.8%였다.,당시 남녀 17만5177명이 신체 불구자로 집계됐다.,해방과 귀환 등으로 인구 이동이 활발했던 시대상을 반영해 ‘남한 전입 시기’와 ‘전입 국가’를 조사하기도 했다.,국내공식통계,N,인구,추계 인구,"전쟁 여파, 불구 상태, 인구 조사, 시대별 변화",-,-,-,,-,-,-,1955,-,Y,확정,2150만2386명,KOSIS_VALUE,hcx,추계 인구,-,1955,Y,hcx,현재값,21502386,-,-,N,명,수준값,-,-,이는 당시 추계 인구(2150만2386명)의 0.8%였다.,high,N,-,N,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,신체 불구자 비율,,N,,1955,Y,,,,1955,,명,명,person_count,count,person,,Y,Y,,,READY,ELIGIBLE,,,,,N
A2386-SP476B05C816,A2386-SP476B05C816-m2,A2386,"1955년엔 전쟁 여파 ‘불구 상태’, 2020년부터는 ‘혼자 산 기간’ 조사",45842.0,https://www.chosun.com/economy/economy_general/2025/07/04/3TM7NWTGMBHMBB7OVKWWMTLA6E,1930년 당시 조선인 인구 2043만명 중 1588만8127명(77.8%)이 ‘가나와 국문을 둘 다 못 하는 자’로 집계됐다.,1930년 시작됐던 문맹 여부 조사는 의무교육제 도입 등으로 문맹률이 낮아지면서 1970년을 끝으로 사라졌다.,"1960년에는 13세 이상 인구 중 문맹자 수가 445만4004명으로 크게 줄었고, 1970년에는 학교에 입학하지 않은 6세 이상 인구(약 512만명) 중 글을 모른다고 응답한 인구가 229만9323명으로 나타났다.",국내공식통계,N,인구,조선인 인구,"문맹 여부, 인구 조사, 조선인, 글 읽기, 쓰기 능력",-,-,-,,조선인,-,-,1930,-,Y,확정,2043만명,KOSIS_VALUE,hcx,조선인 인구,-,1930,Y,hcx,현재값,20430000,-,-,N,명,수준값,-,-,1930년 당시 조선인 인구 2043만명 중 1588만8127명(77.8%)이 ‘가나와 국문을 둘 다 못 하는 자’로 집계됐다.,high,N,-,Y,0,0,HCX-007,v1.6-early-kosis-context,2026-08-11,문맹률,,N,,1930,Y,,,,1930,,명,명,person_count,count,person,,Y,Y,,,READY,ELIGIBLE,,,,,N
