claim_measurement_id,claim_text,indicator,industry_or_item,period,comparison_period,mapping_reason,high_risk_missing,candidate_rank,org_id,tbl_id,tbl_name,selected_itm_id,selected_itm_name,selected_obj_l1,selected_obj_l1_name,selected_obj_l2,selected_obj_l2_name,human_decision,correct_tbl_id,correct_itm_id,correct_obj_l1,correct_obj_l2,correct_obj_l3,correction_note
A0006-C014-m4,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.",농수산식품 수출액,농수산식품,2024,,UNIT_MISMATCH,"[""industry_or_item""]",1,360,DT_1R11001_FRM101,"품목별 수출액, 수입액",13103112831T1,수출액,13102112831A.74184,건조기(농산물용의 것),,,,,,,,,
A0006-C014-m5,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.",화장품 수출액,화장품,2024,,UNIT_MISMATCH,[],1,360,DT_1R11001_FRM101,"품목별 수출액, 수입액",13103112831T1,수출액,13102112831A.55359,탈모제 향수 화장품이나 달리 명시되지  않은 화장용품,,,,,,,,,
A0006-C014-m5,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.",화장품 수출액,화장품,2024,,UNIT_MISMATCH,"[""industry_or_item""]",2,145,DT_145011_A006,화장품 수입 및 수출액 현황,T002,수출액,DATA,데이터,,,,,,,,,
A0006-C014-m6,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.",화장품 수출 증가율,화장품,2024,2023,upstream table candidate is not decisive rank-1 READY,[],1,360,DT_1R11001_FRM101,"품목별 수출액, 수입액",13103112831T1,수출액,13102112831A.55359,탈모제 향수 화장품이나 달리 명시되지  않은 화장용품,,,,,,,,,
A0006-C014-m6,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.",화장품 수출 증가율,화장품,2024,2023,high-risk claim information is missing,"[""industry_or_item""]",2,145,DT_145011_A006,화장품 수입 및 수출액 현황,T001,수입액,DATA,데이터,,,,,,,,,
A0006-C015-m1,◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,수출 증가율,-,202412,202312,upstream table candidate is not decisive rank-1 READY,[],2,360,DT_1R11006_FRM101,"국가별 수출액, 수입액",13103103829T1,수출액,13102103829E.00,계,,,,,,,,,
A0006-C015-m2,◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,수출액,-,202412,,UNIT_MISMATCH,[],1,360,DT_1R11001_FRM101,"품목별 수출액, 수입액",13103112831T1,수출액,13102112831A.A,총액,,,,,,,,,
A0006-C015-m2,◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,수출액,-,202412,,UNIT_MISMATCH,[],2,360,DT_1R11006_FRM101,"국가별 수출액, 수입액",13103103829T1,수출액,13102103829E.00,계,,,,,,,,,
A0006-C018-m1,"전년 대비 월간 수출 증가율은 8월(11%), 9월(7.5%), 10월(4.6%), 11월(1.4%)로 계속 감소 중이었으나, 12월에 6.6%로 반등에 성공한 것이다.",수출 증가율,-,202408,202308,upstream table candidate is not decisive rank-1 READY,[],2,360,DT_1R11006_FRM101,"국가별 수출액, 수입액",13103103829T1,수출액,13102103829E.00,계,,,,,,,,,
A0006-C018-m2,"전년 대비 월간 수출 증가율은 8월(11%), 9월(7.5%), 10월(4.6%), 11월(1.4%)로 계속 감소 중이었으나, 12월에 6.6%로 반등에 성공한 것이다.",수출 증가율,-,202409,202309,upstream table candidate is not decisive rank-1 READY,[],2,360,DT_1R11006_FRM101,"국가별 수출액, 수입액",13103103829T1,수출액,13102103829E.00,계,,,,,,,,,
A0006-C018-m3,"전년 대비 월간 수출 증가율은 8월(11%), 9월(7.5%), 10월(4.6%), 11월(1.4%)로 계속 감소 중이었으나, 12월에 6.6%로 반등에 성공한 것이다.",수출 증가율,-,202410,202310,upstream table candidate is not decisive rank-1 READY,[],2,360,DT_1R11006_FRM101,"국가별 수출액, 수입액",13103103829T1,수출액,13102103829E.00,계,,,,,,,,,
A0006-C018-m4,"전년 대비 월간 수출 증가율은 8월(11%), 9월(7.5%), 10월(4.6%), 11월(1.4%)로 계속 감소 중이었으나, 12월에 6.6%로 반등에 성공한 것이다.",수출 증가율,-,202411,202311,upstream table candidate is not decisive rank-1 READY,[],2,360,DT_1R11006_FRM101,"국가별 수출액, 수입액",13103103829T1,수출액,13102103829E.00,계,,,,,,,,,
A0006-C018-m5,"전년 대비 월간 수출 증가율은 8월(11%), 9월(7.5%), 10월(4.6%), 11월(1.4%)로 계속 감소 중이었으나, 12월에 6.6%로 반등에 성공한 것이다.",수출 증가율,-,202412,202312,upstream table candidate is not decisive rank-1 READY,[],2,360,DT_1R11006_FRM101,"국가별 수출액, 수입액",13103103829T1,수출액,13102103829E.00,계,,,,,,,,,
A0009-C001-m2,7 2023년 국적기로 국제선을 이용한 여객 4720만여 명 가운데 저비용항공사(LCC) 이용객이 2419만여 명으로 대형항공사(대한항공·아시아나항공) 이용객 2300만여 명을 처음으로 넘어섰다.,LCC 이용객 수,저비용항공사,202301,,high-risk claim information is missing,"[""industry_or_item""]",1,381,DT_920005_B008,항공사별 통계,T002,여객,A02,대한항공,B01,계,,,,,,,
A0009-C001-m2,7 2023년 국적기로 국제선을 이용한 여객 4720만여 명 가운데 저비용항공사(LCC) 이용객이 2419만여 명으로 대형항공사(대한항공·아시아나항공) 이용객 2300만여 명을 처음으로 넘어섰다.,LCC 이용객 수,저비용항공사,202301,,high-risk claim information is missing,"[""industry_or_item""]",2,381,DT_920005_B005,국제선 지역별 통계,T002,여객,A04,아시아,B01,계,,,,,,,
A0009-C001-m3,7 2023년 국적기로 국제선을 이용한 여객 4720만여 명 가운데 저비용항공사(LCC) 이용객이 2419만여 명으로 대형항공사(대한항공·아시아나항공) 이용객 2300만여 명을 처음으로 넘어섰다.,대형항공사 이용객 수,"대한항공, 아시아나항공",202301,,high-risk claim information is missing,"[""industry_or_item""]",1,381,DT_920005_B008,항공사별 통계,T002,여객,A03,아시아나항공,B01,계,,,,,,,
