claim_id,claim_measurement_id,article_id,title,date,url,claim_text,measurement_text,measurement_indicator,measurement_item,value,unit,measurement_period,measurement_prd_se,gold_ready,gold_org_id,gold_tbl_id,gold_tbl_name,gold_itm_id,gold_itm_name,gold_obj_l1,gold_obj_l1_name,gold_prd_se,gold_period,gold_source_value,gold_source_unit,gold_actual_value,gold_verdict,gold_coordinate_status,gold_confidence,gold_reason,gold_evidence_url,gold_retrieved_at,gold_label_source,human_reviewed,development_table_overlap
B26CPI03-CORE-YOY,B26CPI03-CORE-YOY-m1,B26CPI03,2026년 3월 소비자물가동향,2026-04-02,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444361&mid=a10301040200,2026년 3월 농산물및석유류제외지수는 전년 동월보다 2.3% 상승했다.,2.3%,농산물및석유류제외지수 전년동월비,농산물및석유류제외지수,2.3,%,202603,M,Y,101,DT_1J22042,월별 소비자물가 등락률,T03,전년동월비(%),3,농산물및석유류제외지수,M,202603,2.3,%,2.3,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444361&mid=a10301040200,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26CPI03-LIVING-YOY,B26CPI03-LIVING-YOY-m1,B26CPI03,2026년 3월 소비자물가동향,2026-04-02,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444361&mid=a10301040200,2026년 3월 생활물가지수는 전년 동월보다 2.3% 상승했다.,2.3%,생활물가지수 전년동월비,생활물가지수,2.3,%,202603,M,Y,101,DT_1J22042,월별 소비자물가 등락률,T03,전년동월비(%),1,생활물가지수,M,202603,2.3,%,2.3,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444361&mid=a10301040200,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26CPI04-CPI-MOM,B26CPI04-CPI-MOM-m1,B26CPI04,2026년 4월 소비자물가동향,2026-05-06,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444938&mainXml=Y&mid=b70203010000,2026년 4월 소비자물가지수는 전월보다 0.5% 상승했다.,0.5%,소비자물가지수 전월비,총지수,0.5,%,202604,M,Y,101,DT_1J22042,월별 소비자물가 등락률,T02,전월비,0,총지수,M,202604,0.5,%,0.5,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444938&mainXml=Y&mid=b70203010000,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26CPI04-CPI-YOY,B26CPI04-CPI-YOY-m1,B26CPI04,2026년 4월 소비자물가동향,2026-05-06,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444938&mainXml=Y&mid=b70203010000,2026년 4월 소비자물가지수는 전년 동월보다 2.6% 상승했다.,2.6%,소비자물가지수 전년동월비,총지수,2.6,%,202604,M,Y,101,DT_1J22042,월별 소비자물가 등락률,T03,전년동월비(%),0,총지수,M,202604,2.6,%,2.6,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444938&mainXml=Y&mid=b70203010000,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26CPI04-CORE-YOY,B26CPI04-CORE-YOY-m1,B26CPI04,2026년 4월 소비자물가동향,2026-05-06,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444938&mainXml=Y&mid=b70203010000,2026년 4월 농산물및석유류제외지수는 전년 동월보다 2.2% 상승했다.,2.2%,농산물및석유류제외지수 전년동월비,농산물및석유류제외지수,2.2,%,202604,M,Y,101,DT_1J22042,월별 소비자물가 등락률,T03,전년동월비(%),3,농산물및석유류제외지수,M,202604,2.2,%,2.2,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444938&mainXml=Y&mid=b70203010000,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26CPI04-LIVING-YOY,B26CPI04-LIVING-YOY-m1,B26CPI04,2026년 4월 소비자물가동향,2026-05-06,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444938&mainXml=Y&mid=b70203010000,2026년 4월 생활물가지수는 전년 동월보다 2.9% 상승했다.,2.9%,생활물가지수 전년동월비,생활물가지수,2.9,%,202604,M,Y,101,DT_1J22042,월별 소비자물가 등락률,T03,전년동월비(%),1,생활물가지수,M,202604,2.9,%,2.9,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=213&list_no=444938&mainXml=Y&mid=b70203010000,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26EMP01-UNEMP,B26EMP01-UNEMP-m1,B26EMP01,2026년 1월 고용동향,2026-02-11,https://mods.go.kr/board.es?act=view&bid=210&list_no=443455&mid=a10301030100&ref_bid=&tag=,2026년 1월 전체 실업률은 4.1%였다.,4.1%,전체 실업률,전체,4.1,%,202601,M,Y,101,DT_1DA7001S,성별 경제활동인구 총괄,T80,실업률,0,계,M,202601,4.1,%,4.1,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://mods.go.kr/board.es?act=view&bid=210&list_no=443455&mid=a10301030100&ref_bid=&tag=,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,Y
B26EMP01-YOUTH-UNEMP,B26EMP01-YOUTH-UNEMP-m1,B26EMP01,2026년 1월 고용동향,2026-02-11,https://mods.go.kr/board.es?act=view&bid=210&list_no=443455&mid=a10301030100&ref_bid=&tag=,2026년 1월 15~29세 청년층 실업률은 6.8%였다.,6.8%,청년층 실업률,15~29세,6.8,%,202601,M,Y,101,DT_1DA7002S,연령별 경제활동인구 총괄,T80,실업률,75,15 - 29세,M,202601,6.8,%,6.8,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://mods.go.kr/board.es?act=view&bid=210&list_no=443455&mid=a10301030100&ref_bid=&tag=,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26EMP01-EMPLOYED,B26EMP01-EMPLOYED-m1,B26EMP01,2026년 1월 고용동향,2026-02-11,https://mods.go.kr/board.es?act=view&bid=210&list_no=443455&mid=a10301030100&ref_bid=&tag=,"2026년 1월 전체 취업자는 27,986천명이었다.","27,986천명",전체 취업자 수,전체,27986,천명,202601,M,Y,101,DT_1DA7001S,성별 경제활동인구 총괄,T30,취업자,0,계,M,202601,27986,천명,27986.4,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0.4; tolerance=0.51,https://mods.go.kr/board.es?act=view&bid=210&list_no=443455&mid=a10301030100&ref_bid=&tag=,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,Y
B26EMP02-UNEMP,B26EMP02-UNEMP-m1,B26EMP02,2026년 2월 고용동향,2026-03-18,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444083&mid=a10301030200,2026년 2월 전체 실업률은 3.4%였다.,3.4%,전체 실업률,전체,3.4,%,202602,M,Y,101,DT_1DA7001S,성별 경제활동인구 총괄,T80,실업률,0,계,M,202602,3.4,%,3.4,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444083&mid=a10301030200,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,Y
B26EMP02-YOUTH-UNEMP,B26EMP02-YOUTH-UNEMP-m1,B26EMP02,2026년 2월 고용동향,2026-03-18,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444083&mid=a10301030200,2026년 2월 15~29세 청년층 실업률은 7.7%였다.,7.7%,청년층 실업률,15~29세,7.7,%,202602,M,Y,101,DT_1DA7002S,연령별 경제활동인구 총괄,T80,실업률,75,15 - 29세,M,202602,7.7,%,7.7,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444083&mid=a10301030200,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26EMP02-EMPLOYED,B26EMP02-EMPLOYED-m1,B26EMP02,2026년 2월 고용동향,2026-03-18,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444083&mid=a10301030200,"2026년 2월 전체 취업자는 28,413천명이었다.","28,413천명",전체 취업자 수,전체,28413,천명,202602,M,Y,101,DT_1DA7001S,성별 경제활동인구 총괄,T30,취업자,0,계,M,202602,28413,천명,28412.5,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0.5; tolerance=0.51,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444083&mid=a10301030200,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,Y
B26EMP03-UNEMP,B26EMP03-UNEMP-m1,B26EMP03,2026년 3월 고용동향,2026-04-15,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444572&mid=a10301010000,2026년 3월 전체 실업률은 3.0%였다.,3.0%,전체 실업률,전체,3.0,%,202603,M,Y,101,DT_1DA7001S,성별 경제활동인구 총괄,T80,실업률,0,계,M,202603,3.0,%,3.0,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444572&mid=a10301010000,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,Y
B26EMP03-YOUTH-UNEMP,B26EMP03-YOUTH-UNEMP-m1,B26EMP03,2026년 3월 고용동향,2026-04-15,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444572&mid=a10301010000,2026년 3월 15~29세 청년층 실업률은 7.6%였다.,7.6%,청년층 실업률,15~29세,7.6,%,202603,M,Y,101,DT_1DA7002S,연령별 경제활동인구 총괄,T80,실업률,75,15 - 29세,M,202603,7.6,%,7.6,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444572&mid=a10301010000,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26EMP03-EMPLOYED,B26EMP03-EMPLOYED-m1,B26EMP03,2026년 3월 고용동향,2026-04-15,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444572&mid=a10301010000,"2026년 3월 전체 취업자는 28,795천명이었다.","28,795천명",전체 취업자 수,전체,28795,천명,202603,M,Y,101,DT_1DA7001S,성별 경제활동인구 총괄,T30,취업자,0,계,M,202603,28795,천명,28795.2,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0.2; tolerance=0.51,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444572&mid=a10301010000,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,Y
B26EMP04-UNEMP,B26EMP04-UNEMP-m1,B26EMP04,2026년 4월 고용동향,2026-05-13,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=445107&mid=a10301010000,2026년 4월 전체 실업률은 2.9%였다.,2.9%,전체 실업률,전체,2.9,%,202604,M,Y,101,DT_1DA7001S,성별 경제활동인구 총괄,T80,실업률,0,계,M,202604,2.9,%,2.9,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=445107&mid=a10301010000,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,Y
B26EMP04-YOUTH-UNEMP,B26EMP04-YOUTH-UNEMP-m1,B26EMP04,2026년 4월 고용동향,2026-05-13,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=445107&mid=a10301010000,2026년 4월 15~29세 청년층 실업률은 7.1%였다.,7.1%,청년층 실업률,15~29세,7.1,%,202604,M,Y,101,DT_1DA7002S,연령별 경제활동인구 총괄,T80,실업률,75,15 - 29세,M,202604,7.1,%,7.1,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=445107&mid=a10301010000,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26EMP04-EMPLOYED,B26EMP04-EMPLOYED-m1,B26EMP04,2026년 4월 고용동향,2026-05-13,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=445107&mid=a10301010000,"2026년 4월 전체 취업자는 28,961천명이었다.","28,961천명",전체 취업자 수,전체,28961,천명,202604,M,Y,101,DT_1DA7001S,성별 경제활동인구 총괄,T30,취업자,0,계,M,202604,28961,천명,28960.5,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0.5; tolerance=0.51,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=445107&mid=a10301010000,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,Y
B26EMP05-UNEMP,B26EMP05-UNEMP-m1,B26EMP05,2026년 5월 고용동향,2026-06-11,https://mods.go.kr/board.es?act=view&bid=210&list_no=445442&mid=a10301030200&ref_bid=&tag=,2026년 5월 전체 실업률은 2.9%였다.,2.9%,전체 실업률,전체,2.9,%,202605,M,Y,101,DT_1DA7001S,성별 경제활동인구 총괄,T80,실업률,0,계,M,202605,2.9,%,2.9,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://mods.go.kr/board.es?act=view&bid=210&list_no=445442&mid=a10301030200&ref_bid=&tag=,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,Y
B26EMP05-YOUTH-UNEMP,B26EMP05-YOUTH-UNEMP-m1,B26EMP05,2026년 5월 고용동향,2026-06-11,https://mods.go.kr/board.es?act=view&bid=210&list_no=445442&mid=a10301030200&ref_bid=&tag=,2026년 5월 15~29세 청년층 실업률은 7.2%였다.,7.2%,청년층 실업률,15~29세,7.2,%,202605,M,Y,101,DT_1DA7002S,연령별 경제활동인구 총괄,T80,실업률,75,15 - 29세,M,202605,7.2,%,7.2,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0; tolerance=0.051,https://mods.go.kr/board.es?act=view&bid=210&list_no=445442&mid=a10301030200&ref_bid=&tag=,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,N
B26EMP05-EMPLOYED,B26EMP05-EMPLOYED-m1,B26EMP05,2026년 5월 고용동향,2026-06-11,https://mods.go.kr/board.es?act=view&bid=210&list_no=445442&mid=a10301030200&ref_bid=&tag=,"2026년 5월 전체 취업자는 29,120천명이었다.","29,120천명",전체 취업자 수,전체,29120,천명,202605,M,Y,101,DT_1DA7001S,성별 경제활동인구 총괄,T30,취업자,0,계,M,202605,29120,천명,29120.1,MATCH,UNIQUE_LIVE_KOSIS_API,HIGH,KOSIS Open API exact coordinate returned one row; abs_error=0.1; tolerance=0.51,https://mods.go.kr/board.es?act=view&bid=210&list_no=445442&mid=a10301030200&ref_bid=&tag=,2026-08-20T06:05:23.464174+00:00,MODS_RELEASE_THEN_KOSIS_API,N,Y
