claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_measurement_period,period_alignment_status,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_type,obj_target_terms,blind_source_type
B26EMP02-YOUTH-UNEMP,B26EMP02-YOUTH-UNEMP-m1,B26EMP02,2026년 2월 고용동향,2026-03-18,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444083&mid=a10301030200,2026년 2월 15~29세 청년층 실업률은 7.7%였다.,-,-,국내공식통계,Y,고용,청년층 실업률,"청년층, 실업률",전국,15~29세,전체,15~29세,-,-,-,202602,-,M,확정,7.7%,KOSIS_VALUE,hcx,청년층 실업률,15~29세,202602,M,hcx,수준값,7.7,-,-,N,%,수준값,-,전년동월,2026년 2월 15~29세 청년층 실업률은 7.7%였다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,청년층 실업률,15~29세,202602,M,202602,exact,%,%,rate,rate,population,,direct,15~29세,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26EMP02-EMPLOYED,B26EMP02-EMPLOYED-m1,B26EMP02,2026년 2월 고용동향,2026-03-18,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444083&mid=a10301030200,"2026년 2월 전체 취업자는 28,413천명이었다.",-,-,국내공식통계,Y,고용,전체 취업자 수,"전체, 취업자, 수",전국,-,전체,전체,-,-,-,202602,-,M,확정,"28,413천명",KOSIS_VALUE,hcx,전체 취업자 수,전체,202602,M,hcx,현재값,28413,-,-,N,천명,현재값,-,전년동월,"2026년 2월 전체 취업자는 28,413천명이었다.",high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,전체 취업자 수,전체,202602,M,202602,exact,천명,천명,count,count,population,,direct,전체,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26EMP03-UNEMP,B26EMP03-UNEMP-m1,B26EMP03,2026년 3월 고용동향,2026-04-15,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444572&mid=a10301010000,2026년 3월 전체 실업률은 3.0%였다.,-,-,국내공식통계,Y,고용,전체 실업률,"전체, 실업률",전국,-,전체,전체,-,-,-,202603,-,M,확정,3.0%,KOSIS_VALUE,hcx,전체 실업률,전체,202603,M,hcx,수준값,3.0,-,-,N,%,수준값,-,전년동월,2026년 3월 전체 실업률은 3.0%였다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,전체 실업률,전체,202603,M,202603,exact,%,%,rate,rate,population,,direct,전체,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26EMP03-YOUTH-UNEMP,B26EMP03-YOUTH-UNEMP-m1,B26EMP03,2026년 3월 고용동향,2026-04-15,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444572&mid=a10301010000,2026년 3월 15~29세 청년층 실업률은 7.6%였다.,-,-,국내공식통계,Y,고용,청년층 실업률,"청년층, 실업률",전국,15~29세,전체,15~29세,-,-,-,202603,-,M,확정,7.6%,KOSIS_VALUE,hcx,청년층 실업률,15~29세,202603,M,hcx,수준값,7.6,-,-,N,%,수준값,-,전년동월,2026년 3월 15~29세 청년층 실업률은 7.6%였다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,청년층 실업률,15~29세,202603,M,202603,exact,%,%,rate,rate,population,,direct,15~29세,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26EMP03-EMPLOYED,B26EMP03-EMPLOYED-m1,B26EMP03,2026년 3월 고용동향,2026-04-15,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=444572&mid=a10301010000,"2026년 3월 전체 취업자는 28,795천명이었다.",-,-,국내공식통계,Y,고용,전체 취업자 수,"전체, 취업자, 수",전국,-,전체,전체,-,-,-,202603,-,M,확정,"28,795천명",KOSIS_VALUE,hcx,전체 취업자 수,전체,202603,M,hcx,현재값,28795,-,-,N,천명,현재값,-,전년동월,"2026년 3월 전체 취업자는 28,795천명이었다.",high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,전체 취업자 수,전체,202603,M,202603,exact,천명,천명,count,count,population,,direct,전체,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26EMP04-UNEMP,B26EMP04-UNEMP-m1,B26EMP04,2026년 4월 고용동향,2026-05-13,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=445107&mid=a10301010000,2026년 4월 전체 실업률은 2.9%였다.,-,-,국내공식통계,Y,고용,전체 실업률,"전체, 실업률",전국,-,전체,전체,-,-,-,202604,-,M,확정,2.9%,KOSIS_VALUE,hcx,전체 실업률,전체,202604,M,hcx,수준값,2.9,-,-,N,%,수준값,-,전년동월,2026년 4월 전체 실업률은 2.9%였다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,전체 실업률,전체,202604,M,202604,exact,%,%,rate,rate,population,,direct,전체,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26EMP04-YOUTH-UNEMP,B26EMP04-YOUTH-UNEMP-m1,B26EMP04,2026년 4월 고용동향,2026-05-13,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=445107&mid=a10301010000,2026년 4월 15~29세 청년층 실업률은 7.1%였다.,-,-,국내공식통계,Y,고용,청년층 실업률,"청년층, 실업률",전국,15~29세,전체,15~29세,-,-,-,202604,-,M,확정,7.1%,KOSIS_VALUE,hcx,청년층 실업률,15~29세,202604,M,hcx,수준값,7.1,-,-,N,%,수준값,-,전년동월,2026년 4월 15~29세 청년층 실업률은 7.1%였다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,청년층 실업률,15~29세,202604,M,202604,exact,%,%,rate,rate,population,,direct,15~29세,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26EMP04-EMPLOYED,B26EMP04-EMPLOYED-m1,B26EMP04,2026년 4월 고용동향,2026-05-13,https://www.mods.go.kr/board.es?act=view&bid=210&list_no=445107&mid=a10301010000,"2026년 4월 전체 취업자는 28,961천명이었다.",-,-,국내공식통계,Y,고용,전체 취업자 수,"전체, 취업자, 수",전국,-,전체,전체,-,-,-,202604,-,M,확정,"28,961천명",KOSIS_VALUE,hcx,전체 취업자 수,전체,202604,M,hcx,현재값,28961,-,-,N,천명,현재값,-,전년동월,"2026년 4월 전체 취업자는 28,961천명이었다.",high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,전체 취업자 수,전체,202604,M,202604,exact,천명,천명,count,count,population,,direct,전체,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26EMP05-UNEMP,B26EMP05-UNEMP-m1,B26EMP05,2026년 5월 고용동향,2026-06-11,https://mods.go.kr/board.es?act=view&bid=210&list_no=445442&mid=a10301030200&ref_bid=&tag=,2026년 5월 전체 실업률은 2.9%였다.,-,-,국내공식통계,Y,고용,전체 실업률,"전체, 실업률",전국,-,전체,전체,-,-,-,202605,-,M,확정,2.9%,KOSIS_VALUE,hcx,전체 실업률,전체,202605,M,hcx,수준값,2.9,-,-,N,%,수준값,-,전년동월,2026년 5월 전체 실업률은 2.9%였다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,전체 실업률,전체,202605,M,202605,exact,%,%,rate,rate,population,,direct,전체,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26EMP05-YOUTH-UNEMP,B26EMP05-YOUTH-UNEMP-m1,B26EMP05,2026년 5월 고용동향,2026-06-11,https://mods.go.kr/board.es?act=view&bid=210&list_no=445442&mid=a10301030200&ref_bid=&tag=,2026년 5월 15~29세 청년층 실업률은 7.2%였다.,-,-,국내공식통계,Y,고용,청년층 실업률,"청년층, 실업률",전국,15~29세,전체,15~29세,-,-,-,202605,-,M,확정,7.2%,KOSIS_VALUE,hcx,청년층 실업률,15~29세,202605,M,hcx,수준값,7.2,-,-,N,%,수준값,-,전년동월,2026년 5월 15~29세 청년층 실업률은 7.2%였다.,high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,청년층 실업률,15~29세,202605,M,202605,exact,%,%,rate,rate,population,,direct,15~29세,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
B26EMP05-EMPLOYED,B26EMP05-EMPLOYED-m1,B26EMP05,2026년 5월 고용동향,2026-06-11,https://mods.go.kr/board.es?act=view&bid=210&list_no=445442&mid=a10301030200&ref_bid=&tag=,"2026년 5월 전체 취업자는 29,120천명이었다.",-,-,국내공식통계,Y,고용,전체 취업자 수,"전체, 취업자, 수",전국,-,전체,전체,-,-,-,202605,-,M,확정,"29,120천명",KOSIS_VALUE,hcx,전체 취업자 수,전체,202605,M,hcx,현재값,29120,-,-,N,천명,현재값,-,전년동월,"2026년 5월 전체 취업자는 29,120천명이었다.",high,N,-,N,0,0,BLIND_STRUCTURED_OFFICIAL_RELEASE,blind-v1,2026-08-20,전체 취업자 수,전체,202605,M,202605,exact,천명,천명,count,count,population,,direct,전체,OFFICIAL_RELEASE_INDEPENDENT_STRUCTURED_FIXTURE
