indicator_key,cond_age_group,cond_prd_se,org_id,tbl_id,obj_l1,obj_l2,itm_id,verify,table_note,unit_multiplier,rate_table
내수판매및수출,,Y,360,DT_1R11001_FRM101,,,,N,표 후보만 자동매핑: 자동차 판매/수출 관련 후보. 국내 판매는 KOSIS 외부 통계일 수,1,N
소매판매,,Q,101,DT_1K41012,,,,N,표 후보만 자동매핑: 재별 및 상품군별 소매판매액지수 후보. 총지수/상품군 코드 확인 필요,1,N
완성차업체들의판매량,,Y,360,DT_1R11001_FRM101,,,,N,표 후보만 자동매핑: 자동차 판매/수출 관련 후보. 국내 판매는 KOSIS 외부 통계일 수,1,N
판매대수,,Y,360,DT_1R11001_FRM101,,,,N,표 후보만 자동매핑: 자동차 판매/수출 관련 후보. 국내 판매는 KOSIS 외부 통계일 수,1,N
학력별실업률,,Y,101,DT_1DA7003S,40,,T80,N,교육정도별 경제활동인구 - 실업률,1,N
수출액,,H,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,N,품목별 수출액 수입액 - 총액 수출액,1,N
학력별실업률,,Y,101,DT_1DA7003S,30,,T80,N,교육정도별 경제활동인구 - 실업률,1,N
건설기성,,Q,101,DT_1G18008,,,,N,표 후보만 자동매핑: 건설기성 후보. 공종/발주자/원지수·계절조정 코드 확인 필요,1,N
미국시장자동차판매량,,Y,360,DT_1R11001_FRM101,,,,N,표 후보만 자동매핑: 자동차 판매/수출 관련 후보. 국내 판매는 KOSIS 외부 통계일 수,1,N
산업활동동향,,Q,101,DT_1JH20201,,,,N,표 후보만 자동매핑: 전산업생산지수 후보. 원지수/계절조정/산업별 코드 확인 필요,1,N
설비투자,,Q,101,DT_1F70011,,,,N,표 후보만 자동매핑: 설비투자지수 후보. 원지수/계절조정 및 증감률 계산 기준 확인 필요,1,N
소비자물가상승률;가공식품물가상승률,,M,101,DT_1J22042,0,,T03,N,월별 소비자물가 등락률 - 총지수 전년동월비,1,Y
수출액,,Q,360,DT_1R11001_FRM101,,,,N,표 후보만 자동매핑: 품목별 수출액/수입액 후보. 전체/품목 코드와 수출입 항목코드 확인 ,1,N
자동차수출액,,Q,360,DT_1R11001_FRM101,,,,N,표 후보만 자동매핑: 품목별 수출액/수입액 후보. 반도체/자동차/바이오헬스 등 세부 품목 ,1,N
"바이오헬스수출,농수산식품수출,화장품수출",,Y,360,DT_1R11001_FRM101,,,,N,표 후보만 자동매핑: 품목별 수출액/수입액 후보. 반도체/자동차/바이오헬스 등 세부 품목 ,1,N
수출액,,M,360,DT_1R11001_FRM101,,,,N,표 후보만 자동매핑: 품목별 수출액/수입액 후보. 전체/품목 코드와 수출입 항목코드 확인 ,1,N
수출증가율,,Q,360,DT_1R11001_FRM101,,,,N,표 후보만 자동매핑: 품목별 수출액/수입액 후보. 전체/품목 코드와 수출입 항목코드 확인 ,1,N
반도체수출액,,M,360,DT_1R11001_FRM101,,,,N,표 후보만 자동매핑: 품목별 수출액/수입액 후보. 반도체/자동차/바이오헬스 등 세부 품목 ,1,N
작년한해전체수출액,,Y,360,DT_1R11001_FRM101,,,,N,표 후보만 자동매핑: 품목별 수출액/수입액 후보. 전체/품목 코드와 수출입 항목코드 확인 ,1,N
"수입액,무역흑자",,Y,360,DT_1R11006_FRM101,,,,N,표 후보만 자동매핑: 국가별 수출액/수입액 후보. 수입액과 무역흑자는 항목 선택 및 수출-,1,N
수출실적,,Y,360,DT_1R11001_FRM101,,,,N,표 후보만 자동매핑: 품목별 수출액/수입액 후보. 전체/품목 코드와 수출입 항목코드 확인 ,1,N
수출증가율,,M,360,DT_1R11001_FRM101,,,,N,표 후보만 자동매핑: 품목별 수출액/수입액 후보. 전체/품목 코드와 수출입 항목코드 확인 ,1,N
