claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_grounded,extraction_scope,chunk_index
A0003-c004,A0003-c004-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 국가장학금 지원 대폭 확대 =국가장학금 I유형과 다자녀 장학금 지원 대상을 100만명에서 150만명으로 확대해 1인당 최대 100만원을 지원한다.,-,-,국내공식통계,N,재정·조세,국가장학금 지원 대상,"대학생, 장학금",-,-,-,-,대학생,-,-,2025,-,-,확정,100만명,POLICY_VALUE,hcx,국가장학금 지원 대상,-,2025,-,claim_fallback,이전값,1000000,-,-,N,명,수준값,증가,전년,[40] 국가장학금 I유형과 다자녀 장학금 지원 대상을 100만명에서 150만명으로 확대해 1인당 최대 100만원을 지원한다.,high,Y,measurement_rule_fallback:1;measurement_binding_fallback:1;measurement_period_ungrounded:1,Y,1,1,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c004,A0003-c004-m3,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 국가장학금 지원 대폭 확대 =국가장학금 I유형과 다자녀 장학금 지원 대상을 100만명에서 150만명으로 확대해 1인당 최대 100만원을 지원한다.,-,-,국내공식통계,N,재정·조세,국가장학금 지원 대상,"대학생, 장학금",-,-,-,-,대학생,-,-,2025,-,-,확정,100만원,POLICY_VALUE,rule_fallback,국가장학금 지원 대상,-,2025,-,rule_fallback,목표값,1000000,-,-,N,원,수준값,증가,-,[40] 국가장학금 I유형과 다자녀 장학금 지원 대상을 100만명에서 150만명으로 확대해 1인당 최대 100만원을 지원한다.,high,Y,measurement_rule_fallback:1;measurement_binding_fallback:1;measurement_period_ungrounded:1,Y,1,1,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c005,A0003-c005-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",-,-,국내공식통계,N,재정·조세,국가근로장학금 수혜 대상,"대학생, 장학금",-,-,-,-,대학생,-,-,2025,-,-,확정,20만명,POLICY_VALUE,hcx,국가근로장학금 수혜 대상,-,2025,-,hcx,현재값,200000,-,-,N,명,수준값,증가,전년,"[41] 국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",high,Y,measurement_rule_fallback:1;measurement_binding_fallback:1;measurement_period_ungrounded:1,Y,1,1,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c005,A0003-c005-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",-,-,국내공식통계,N,재정·조세,국가근로장학금 수혜 대상,"대학생, 장학금",-,-,-,-,대학생,-,-,2025,-,-,확정,14만명,POLICY_VALUE,hcx,국가근로장학금 수혜 대상,-,2025,-,claim_fallback,이전값,140000,-,-,N,명,수준값,증가,전년,"[41] 국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",high,Y,measurement_rule_fallback:1;measurement_binding_fallback:1;measurement_period_ungrounded:1,Y,1,1,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c005,A0003-c005-m3,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",-,-,국내공식통계,N,재정·조세,국가근로장학금 수혜 대상,"대학생, 장학금",-,-,-,-,대학생,-,-,2025,-,-,확정,240만원,POLICY_VALUE,rule_fallback,국가근로장학금 수혜 대상,-,2025,-,rule_fallback,목표값,2400000,-,-,N,원,수준값,증가,-,"[41] 국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",high,Y,measurement_rule_fallback:1;measurement_binding_fallback:1;measurement_period_ungrounded:1,Y,1,1,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c006,A0003-c006-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",-,-,국내공식통계,N,재정·조세,주거안정장학금 지원,"대학생, 장학금",-,-,-,-,대학생,-,-,2025,-,-,확정,연간 최대 240만원,POLICY_VALUE,hcx,주거안정장학금 지원,-,2025,-,hcx,현재값,2400000,-,-,N,원,수준값,증가,전년,"[41] 국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",high,Y,measurement_rule_fallback:2,Y,2,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c006,A0003-c006-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",-,-,국내공식통계,N,재정·조세,주거안정장학금 지원,"대학생, 장학금",-,-,-,-,대학생,-,-,2025,-,-,확정,14만명,POLICY_VALUE,rule_fallback,주거안정장학금 지원,-,2025,-,rule_fallback,이전값,140000,-,-,N,명,수준값,증가,-,"[41] 국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",high,Y,measurement_rule_fallback:2,Y,2,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c006,A0003-c006-m3,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",-,-,국내공식통계,N,재정·조세,주거안정장학금 지원,"대학생, 장학금",-,-,-,-,대학생,-,-,2025,-,-,확정,20만명,POLICY_VALUE,rule_fallback,주거안정장학금 지원,-,2025,-,rule_fallback,현재값,200000,-,-,N,명,수준값,증가,-,"[41] 국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",high,Y,measurement_rule_fallback:2,Y,2,0,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c007,A0003-c007-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 병 봉급 인상 =병 봉급을 병장 기준 월 125만원에서 150만원으로 늘린다.,-,-,국내공식통계,N,재정·조세,병 봉급,"병장, 상병, 일병, 이병",-,-,-,-,병사,-,-,2025,-,-,확정,150만원,POLICY_VALUE,hcx,병 봉급,병장,2025,-,hcx,현재값,1500000,-,-,N,원,수준값,증가,전년,[42] 병 봉급을 병장 기준 월 125만원에서 150만원으로 늘린다.,high,Y,measurement_binding_fallback:1;measurement_period_ungrounded:1,N,0,1,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c007,A0003-c007-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 병 봉급 인상 =병 봉급을 병장 기준 월 125만원에서 150만원으로 늘린다.,-,-,국내공식통계,N,재정·조세,병 봉급,"병장, 상병, 일병, 이병",-,-,-,-,병사,-,-,2025,-,-,확정,125만원,POLICY_VALUE,hcx,병 봉급,병장,2025,-,claim_fallback,이전값,1250000,-,-,N,원,수준값,증가,전년,[42] 병 봉급을 병장 기준 월 125만원에서 150만원으로 늘린다.,high,Y,measurement_binding_fallback:1;measurement_period_ungrounded:1,N,0,1,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c008,A0003-c008-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",-,-,국내공식통계,N,재정·조세,병 봉급,"병장, 상병, 일병, 이병",-,-,-,-,병사,-,-,2025,-,-,확정,120만원,POLICY_VALUE,hcx,병 봉급,상병,2025,-,hcx,현재값,1200000,-,-,N,원,수준값,증가,전년,"[43] 상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,Y,0,3,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c008,A0003-c008-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",-,-,국내공식통계,N,재정·조세,병 봉급,"병장, 상병, 일병, 이병",-,-,-,-,병사,-,-,2025,-,-,확정,100만원,POLICY_VALUE,hcx,병 봉급,상병,2025,-,claim_fallback,이전값,1000000,-,-,N,원,수준값,증가,전년,"[43] 상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,Y,0,3,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c008,A0003-c008-m3,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",-,-,국내공식통계,N,재정·조세,병 봉급,"병장, 상병, 일병, 이병",-,-,-,-,병사,-,-,2025,-,-,확정,90만원,POLICY_VALUE,hcx,병 봉급,일병,2025,-,hcx,현재값,900000,-,-,N,원,수준값,증가,전년,"[43] 상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,Y,0,3,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c008,A0003-c008-m4,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",-,-,국내공식통계,N,재정·조세,병 봉급,"병장, 상병, 일병, 이병",-,-,-,-,병사,-,-,2025,-,-,확정,80만원,POLICY_VALUE,hcx,병 봉급,일병,2025,-,claim_fallback,이전값,800000,-,-,N,원,수준값,증가,전년,"[43] 상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,Y,0,3,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c008,A0003-c008-m5,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",-,-,국내공식통계,N,재정·조세,병 봉급,"병장, 상병, 일병, 이병",-,-,-,-,병사,-,-,2025,-,-,확정,75만원,POLICY_VALUE,hcx,병 봉급,이병,2025,-,hcx,현재값,750000,-,-,N,원,수준값,증가,전년,"[43] 상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,Y,0,3,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c008,A0003-c008-m6,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",-,-,국내공식통계,N,재정·조세,병 봉급,"병장, 상병, 일병, 이병",-,-,-,-,병사,-,-,2025,-,-,확정,64만원,POLICY_VALUE,hcx,병 봉급,이병,2025,-,claim_fallback,이전값,640000,-,-,N,원,수준값,증가,전년,"[43] 상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,Y,0,3,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c009,A0003-c009-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",-,-,국내공식통계,N,재정·조세,병 봉급,"병장, 상병, 일병, 이병",-,-,-,-,병사,-,-,2025,-,-,확정,120만원,POLICY_VALUE,hcx,병 봉급,상병,2025,-,hcx,현재값,1200000,-,-,N,원,수준값,증가,전년,"[43] 상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,Y,0,3,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
A0003-c009,A0003-c009-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",-,-,국내공식통계,N,재정·조세,병 봉급,"병장, 상병, 일병, 이병",-,-,-,-,병사,-,-,2025,-,-,확정,100만원,POLICY_VALUE,hcx,병 봉급,상병,2025,-,claim_fallback,이전값,1000000,-,-,N,원,수준값,증가,전년,"[43] 상병 봉급은 100만원에서 120만원으로, 일병은 80만원에서 90만원으로, 이병은 64만원에서 75만원으로 늘어난다.",high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,Y,0,3,HCX-007,article-combined-v2.0-sentence-index,2026-07-31,Y,article_combined,1
