claim_id,claim_measurement_id,claim_text,date,measurement_text,measurement_usage,claim_domain_scope,measurement_binding_source,measurement_role,measurement_indicator,measurement_item,value,unit,measurement_period,measurement_prd_se,in_ready,cand_tbl_ids,gold_verifiable,gold_measurement_correct,gold_org_id,gold_tbl_id,gold_obj_l1,gold_itm_id,gold_verdict,gold_actual_value
A1065-C016,A1065-C016-m2,"연간 매출액은 951억원에서 1164억원으로 22.4% 증가했고, 4분기 흑자 전환하면서 영업손실은 전년 94억원에서 지난해 61억원으로 감소했다.",2025-03-23,1164억원,KOSIS_VALUE,개별기업,hcx,현재값,연간 매출액,애니메이션,1.164E+11,원,2024,Y,N,,N,,,,,,,
A1065-C016,A1065-C016-m3,"연간 매출액은 951억원에서 1164억원으로 22.4% 증가했고, 4분기 흑자 전환하면서 영업손실은 전년 94억원에서 지난해 61억원으로 감소했다.",2025-03-23,22.40%,KOSIS_VALUE,개별기업,hcx,증감률,연간 매출액 증감률,애니메이션,22.4,%,2024,Y,N,,N,,,,,,,
A1065-C016,A1065-C016-m4,"연간 매출액은 951억원에서 1164억원으로 22.4% 증가했고, 4분기 흑자 전환하면서 영업손실은 전년 94억원에서 지난해 61억원으로 감소했다.",2025-03-23,94억원,KOSIS_VALUE,개별기업,hcx,이전값,영업손실,애니메이션,9400000000,원,-,-,N,,N,,,,,,,
A1065-C016,A1065-C016-m5,"연간 매출액은 951억원에서 1164억원으로 22.4% 증가했고, 4분기 흑자 전환하면서 영업손실은 전년 94억원에서 지난해 61억원으로 감소했다.",2025-03-23,61억원,KOSIS_VALUE,개별기업,hcx,현재값,영업손실,애니메이션,6100000000,원,2024,Y,N,,N,,,,,,,
A2636-C004,A2636-C004-m1,10대를 뺀 전 연령대에서 감소 폭이 가장 컸다.,2025-10-18,10대,KOSIS_VALUE,국내공식통계,hcx,증감값,취업자 수,-,10,대,-,-,N,,Y,,,,,,,
A0321-C002,A0321-C002-m1,남아 있는 '3% 예금·5% 적금' 상품은 시중·지방·인터넷은행 수신 금리 낮춰 19개 은행 예금 중 금리 3% 초과 5개뿐 5% 넘는 1년 만기 적금도 5개…자격 조건 제한 김보연 기자(조선비즈) 입력 2025.01.25.,2025-01-25,3%,CONDITION,국내공식통계,hcx,현재값,예금 금리,-,3,%,202501,M,N,,N,,,,,,,
A0321-C002,A0321-C002-m5,남아 있는 '3% 예금·5% 적금' 상품은 시중·지방·인터넷은행 수신 금리 낮춰 19개 은행 예금 중 금리 3% 초과 5개뿐 5% 넘는 1년 만기 적금도 5개…자격 조건 제한 김보연 기자(조선비즈) 입력 2025.01.25.,2025-01-25,1년,CONTEXT,국내공식통계,hcx,참고값,적금 기간,-,1,년,202501,M,N,,N,,,,,,,
A0522-C018,A0522-C018-m1,"르노닛산미쓰비시연합은 중국 사업을 접은 르노의 판매량(약 226만대)이 1년 새 1.3% 늘며, 전체 판매량도 1.1% 늘었다.",2025-02-10,226만대,KOSIS_VALUE,해외통계·정책,hcx,현재값,판매량,자동차,2260000,대,-,-,N,,N,,,,,,,
A0522-C018,A0522-C018-m2,"르노닛산미쓰비시연합은 중국 사업을 접은 르노의 판매량(약 226만대)이 1년 새 1.3% 늘며, 전체 판매량도 1.1% 늘었다.",2025-02-10,1.30%,KOSIS_VALUE,해외통계·정책,hcx,증감률,판매량 증가율,자동차,1.3,%,-,-,N,,N,,,,,,,
A0522-C018,A0522-C018-m3,"르노닛산미쓰비시연합은 중국 사업을 접은 르노의 판매량(약 226만대)이 1년 새 1.3% 늘며, 전체 판매량도 1.1% 늘었다.",2025-02-10,1.10%,KOSIS_VALUE,해외통계·정책,hcx,증감률,전체 판매량 증가율,자동차,1.1,%,-,-,N,,N,,,,,,,
A0522-C018,A0522-C018-m4,"르노닛산미쓰비시연합은 중국 사업을 접은 르노의 판매량(약 226만대)이 1년 새 1.3% 늘며, 전체 판매량도 1.1% 늘었다.",2025-02-10,1년,CONTEXT,해외통계·정책,rule_fallback,참고값,판매량 증가율,자동차,1,년,Jan-25,M,N,,N,,,,,,,
A0183-C013,A0183-C013-m1,신혼부부들의 실제 지출액은 평균 2억635만원이었으며 결혼 예정자는 2억2541만원을 예상했다.,2025-01-15,2억635만원,KOSIS_VALUE,여론조사·설문,hcx,현재값,신혼부부의 결혼 비용,-,206350000,원,-,-,N,,N,,,,,,,
A0183-C013,A0183-C013-m2,신혼부부들의 실제 지출액은 평균 2억635만원이었으며 결혼 예정자는 2억2541만원을 예상했다.,2025-01-15,2억2541만원,KOSIS_VALUE,여론조사·설문,hcx,현재값,신혼부부의 결혼 비용,-,225410000,원,-,-,N,,N,,,,,,,
A0807-C012,A0807-C012-m1,지난달 전기차 판매가 1년 전에 비해 늘어난 것은 올해 전기차 국고 보조금이 예년보다 빠르게 책정된 영향이다.,2025-03-04,1년,CONTEXT,개별기업,claim_fallback,참고값,전기차 판매량 증가,전기차,1,년,Jan-25,M,N,,N,,,,,,,
A0768-C014,A0768-C014-m1,"대당 최대 국비 보조금이 지난해(650만원) 대비 70만원 줄었고, 지방비 보조금도 줄어든 영향이다.",2025-03-01,650만원,POLICY_VALUE,개별기업,hcx,목표값,국비 보조금,전기차,6500000,원,2024,Y,N,,N,,,,,,,
A0768-C014,A0768-C014-m2,"대당 최대 국비 보조금이 지난해(650만원) 대비 70만원 줄었고, 지방비 보조금도 줄어든 영향이다.",2025-03-01,70만원,POLICY_VALUE,개별기업,hcx,현재값,국비 보조금 감소분,전기차,700000,원,2025,Y,N,,N,,,,,,,
A0308-C031,A0308-C031-m1,김태유 서울대 명예교수는 “지난 30년간 대통령 임기마다 한국 경제성장률이 1%포인트씩 대세 하락해 왔다”며 “새로운 성장 동력을 찾는 노력이 절실하다”고 했다. ☞피크 코리아(Peak Korea) 피크 코리아는 한국 경제가 과거 고도성장기를 거치고 나서 성장이 정점을 찍고 내리막에 들어섰다는 주장이다.,2025-01-24,30년,CONDITION,전망·목표,hcx,참고값,기간,-,30,년,-,-,N,,Y,,,,,,,
A0308-C031,A0308-C031-m2,김태유 서울대 명예교수는 “지난 30년간 대통령 임기마다 한국 경제성장률이 1%포인트씩 대세 하락해 왔다”며 “새로운 성장 동력을 찾는 노력이 절실하다”고 했다. ☞피크 코리아(Peak Korea) 피크 코리아는 한국 경제가 과거 고도성장기를 거치고 나서 성장이 정점을 찍고 내리막에 들어섰다는 주장이다.,2025-01-24,1%,KOSIS_VALUE,전망·목표,hcx,증감률,경제성장률 변화,-,1,%,-,-,N,,Y,,,,,,,
A2254-C007,A2254-C007-m1,"유럽연합과 대만 수출도 각각 23.5%, 46.3% 늘었고, 중국과 베트남은 수출이 1%, 4.3% 줄었다.",2025-06-23,23.50%,KOSIS_VALUE,국내공식통계,hcx,증감률,유럽연합 수출 증감률,유럽연합,23.5,%,-,-,N,,Y,,,,,,,
A2254-C007,A2254-C007-m2,"유럽연합과 대만 수출도 각각 23.5%, 46.3% 늘었고, 중국과 베트남은 수출이 1%, 4.3% 줄었다.",2025-06-23,46.30%,KOSIS_VALUE,국내공식통계,hcx,증감률,대만 수출 증감률,대만,46.3,%,-,-,N,,Y,,,,,,,
A2254-C007,A2254-C007-m3,"유럽연합과 대만 수출도 각각 23.5%, 46.3% 늘었고, 중국과 베트남은 수출이 1%, 4.3% 줄었다.",2025-06-23,1%,KOSIS_VALUE,국내공식통계,hcx,증감률,중국 수출 증감률,중국,1,%,-,-,N,,Y,,,,,,,
A2254-C007,A2254-C007-m4,"유럽연합과 대만 수출도 각각 23.5%, 46.3% 늘었고, 중국과 베트남은 수출이 1%, 4.3% 줄었다.",2025-06-23,4.30%,KOSIS_VALUE,국내공식통계,hcx,증감률,베트남 수출 증감률,베트남,4.3,%,-,-,N,,Y,,,,,,,
A0096-C003,A0096-C003-m1,이는 직전 분기의 41조2000억원보다 3조5000억원가량 줄어든 것이다.,2025-01-08,41조2000억원,KOSIS_VALUE,국내공식통계,hcx,이전값,순자금 운용액,-,4.12E+13,원,2024Q2,Q,N,,N,,,,,,,
A0855-C011,A0855-C011-m1,지역별로는 중국(-14.0%)·EU(-11.6%)·미국(-9.4%)·일본(-7.7%)·동남아(-3.8%) 등 대부분의 수출 상대국에서 줄었다.,2025-03-07,14.00%,KOSIS_VALUE,국내공식통계,hcx,증감률,수출,컴퓨터,14,%,-,-,N,,Y,,,,,,,
A0855-C011,A0855-C011-m2,지역별로는 중국(-14.0%)·EU(-11.6%)·미국(-9.4%)·일본(-7.7%)·동남아(-3.8%) 등 대부분의 수출 상대국에서 줄었다.,2025-03-07,11.60%,KOSIS_VALUE,국내공식통계,hcx,증감률,수출,유럽연합(EU),11.6,%,-,-,N,,Y,,,,,,,
A0855-C011,A0855-C011-m3,지역별로는 중국(-14.0%)·EU(-11.6%)·미국(-9.4%)·일본(-7.7%)·동남아(-3.8%) 등 대부분의 수출 상대국에서 줄었다.,2025-03-07,9.40%,KOSIS_VALUE,국내공식통계,hcx,증감률,수출,미국,9.4,%,-,-,N,,Y,,,,,,,
A0855-C011,A0855-C011-m4,지역별로는 중국(-14.0%)·EU(-11.6%)·미국(-9.4%)·일본(-7.7%)·동남아(-3.8%) 등 대부분의 수출 상대국에서 줄었다.,2025-03-07,7.70%,KOSIS_VALUE,국내공식통계,hcx,증감률,수출,일본,7.7,%,-,-,N,,Y,,,,,,,
A0855-C011,A0855-C011-m5,지역별로는 중국(-14.0%)·EU(-11.6%)·미국(-9.4%)·일본(-7.7%)·동남아(-3.8%) 등 대부분의 수출 상대국에서 줄었다.,2025-03-07,3.80%,KOSIS_VALUE,국내공식통계,hcx,증감률,수출,동남아시아,3.8,%,-,-,N,,N,,,,,,,
A1123-C005,A1123-C005-m2,1975~1976년생도 남성의 고학력 비율(62.9%)이 여성(60.2%)보다 높다.,2025-03-28,60.20%,KOSIS_VALUE,국내공식통계,hcx,현재값,여성 고학력자 비율,1975~1976년생,60.2,%,-,-,N,,N,,,,,,,
A2056-C007,A2056-C007-m1,"산업별로는 정보통신업이 26%로 가장 높았지만, 제조업은 4%에 그쳐 산업 간 디지털 격차가 큰 상황이다.",2025-06-08,26%,KOSIS_VALUE,개별기업,hcx,현재값,정보통신업 AI 도입 비율,정보통신업,26,%,-,-,N,,N,,,,,,,
A2056-C007,A2056-C007-m2,"산업별로는 정보통신업이 26%로 가장 높았지만, 제조업은 4%에 그쳐 산업 간 디지털 격차가 큰 상황이다.",2025-06-08,4%,KOSIS_VALUE,개별기업,hcx,현재값,제조업 AI 도입 비율,제조업,4,%,-,-,N,,N,,,,,,,
A2540-C014,A2540-C014-m1,건설 경기 부진으로 1분기 건설업 분야 청년 사업자(1만4472명)도 1년 전에 비해 247명 줄었다.,2025-07-15,1만4472명,KOSIS_VALUE,국내공식통계,hcx,현재값,청년 사업자 수,건설업,14472,명,-,-,N,,N,,,,,,,
A2540-C014,A2540-C014-m2,건설 경기 부진으로 1분기 건설업 분야 청년 사업자(1만4472명)도 1년 전에 비해 247명 줄었다.,2025-07-15,247명,KOSIS_VALUE,국내공식통계,hcx,증감값,청년 사업자 증감,건설업,247,명,-,-,N,,N,,,,,,,
A2540-C014,A2540-C014-m3,건설 경기 부진으로 1분기 건설업 분야 청년 사업자(1만4472명)도 1년 전에 비해 247명 줄었다.,2025-07-15,1년,CONTEXT,국내공식통계,claim_fallback,참고값,경과 시간,건설업,1,년,2025Q1,Q,N,,N,,,,,,,
A2556-C015,A2556-C015-m1,건설업 취업자는 14개월째 감소세를 이어가고 있다.,2025-07-16,14개월,CONTEXT,국내공식통계,claim_fallback,참고값,건설업 취업자 감소 기간,건설업,14,개월,Jun-25,M,N,,Y,,,,,,,
A2006-C017,A2006-C017-m1,"한 시중은행 관계자는 “환전객이 작년보다 20~25%는 줄어들면서, 일부 은행은 연간 500억원이 넘는 적자를 기록하는 것으로 추정된다”고 말했다.",2025-06-04,20%,KOSIS_VALUE,개별기업,hcx,현재값,환전객 감소 비율,은행,20,%,-,-,N,,N,,,,,,,
A2006-C017,A2006-C017-m2,"한 시중은행 관계자는 “환전객이 작년보다 20~25%는 줄어들면서, 일부 은행은 연간 500억원이 넘는 적자를 기록하는 것으로 추정된다”고 말했다.",2025-06-04,25%,KOSIS_VALUE,개별기업,hcx,현재값,환전객 감소 비율,은행,25,%,-,-,N,,N,,,,,,,
A2006-C017,A2006-C017-m3,"한 시중은행 관계자는 “환전객이 작년보다 20~25%는 줄어들면서, 일부 은행은 연간 500억원이 넘는 적자를 기록하는 것으로 추정된다”고 말했다.",2025-06-04,500억원,KOSIS_VALUE,개별기업,hcx,현재값,적자,은행,50000000000,원,-,-,N,,N,,,,,,,
A1532-C004,A1532-C004-m1,KT는 전년과 같은 79점으로 3위였다.,2025-04-28,3위,KOSIS_VALUE,개별기업,hcx,현재값,순위,통신사 평가 순위,3,위,-,-,N,,N,,,,,,,
A2696-C058,A2696-C058-m2,2005년 조사에서 15세 이상 기혼 여성 중 93%가 ‘추가 자녀 계획이 없다’고 답했다.,2025-11-08,15세,CONDITION,국내공식통계,hcx,참고값,연령 기준,-,15,세,2005,Y,N,,N,,,,,,,
A0773-C014,A0773-C014-m1,지역별로는 대미(對美) 수출이 1% 증가한 99억달러로 1월에 이어 대중 수출을 웃돌았다.,2025-03-01,1%,KOSIS_VALUE,국내공식통계,hcx,증감률,수출액,-,1,%,-,-,N,,Y,,,,,,,
A0773-C014,A0773-C014-m2,지역별로는 대미(對美) 수출이 1% 증가한 99억달러로 1월에 이어 대중 수출을 웃돌았다.,2025-03-01,99억달러,KOSIS_VALUE,국내공식통계,hcx,현재값,수출액,-,9900000000,달러,-,-,N,,Y,,,,,,,
A2256-C011,A2256-C011-m1,대신 운전 자금을 위한 신규 대출 비율은 66%에서 74%로 늘었다.,2025-06-23,66%,KOSIS_VALUE,개별기업,hcx,이전값,운전 자금 대출 비율,-,66,%,2024,Y,N,,N,,,,,,,
A2256-C011,A2256-C011-m2,대신 운전 자금을 위한 신규 대출 비율은 66%에서 74%로 늘었다.,2025-06-23,74%,KOSIS_VALUE,개별기업,hcx,현재값,운전 자금 대출 비율,-,74,%,-,-,N,,N,,,,,,,
A1399-C024,A1399-C024-m1,정부는 연 매출 3억원 이하 소상공인 311만명에게 전기·수도·가스 등 공과금과 화재보험료를 최대 50만원 지원하고 1년 전보다 카드 소비를 늘린 소비자들에게 최대 30만원을 온누리상품권 형태로 돌려주는 소상공인 지원·내수 진작 방안도 이번 추경에 담았다.,2025-04-18,3억원,CONDITION,기타,hcx,참고값,지원 대상 매출 기준,소상공인,300000000,원,2025,Y,N,,N,,,,,,,
A1399-C024,A1399-C024-m2,정부는 연 매출 3억원 이하 소상공인 311만명에게 전기·수도·가스 등 공과금과 화재보험료를 최대 50만원 지원하고 1년 전보다 카드 소비를 늘린 소비자들에게 최대 30만원을 온누리상품권 형태로 돌려주는 소상공인 지원·내수 진작 방안도 이번 추경에 담았다.,2025-04-18,311만명,POLICY_VALUE,기타,hcx,현재값,지원 대상 인원,소상공인,3110000,명,2025,Y,N,,N,,,,,,,
A1399-C024,A1399-C024-m3,정부는 연 매출 3억원 이하 소상공인 311만명에게 전기·수도·가스 등 공과금과 화재보험료를 최대 50만원 지원하고 1년 전보다 카드 소비를 늘린 소비자들에게 최대 30만원을 온누리상품권 형태로 돌려주는 소상공인 지원·내수 진작 방안도 이번 추경에 담았다.,2025-04-18,50만원,POLICY_VALUE,기타,hcx,목표값,최대 지원 금액,전기·수도·가스 등 공과금 및 화재보험료,500000,원,2025,Y,N,,N,,,,,,,
A1399-C024,A1399-C024-m4,정부는 연 매출 3억원 이하 소상공인 311만명에게 전기·수도·가스 등 공과금과 화재보험료를 최대 50만원 지원하고 1년 전보다 카드 소비를 늘린 소비자들에게 최대 30만원을 온누리상품권 형태로 돌려주는 소상공인 지원·내수 진작 방안도 이번 추경에 담았다.,2025-04-18,1년,CONTEXT,기타,hcx,참고값,카드 소비 증가 기간,소비자,1,년,2025,Y,N,,N,,,,,,,
A1399-C024,A1399-C024-m5,정부는 연 매출 3억원 이하 소상공인 311만명에게 전기·수도·가스 등 공과금과 화재보험료를 최대 50만원 지원하고 1년 전보다 카드 소비를 늘린 소비자들에게 최대 30만원을 온누리상품권 형태로 돌려주는 소상공인 지원·내수 진작 방안도 이번 추경에 담았다.,2025-04-18,30만원,POLICY_VALUE,기타,hcx,목표값,최대 환급 금액,온누리상품권,300000,원,2025,Y,N,,N,,,,,,,
A0850-C005,A0850-C005-m1,최근 1년 사이에 메리츠는 주가가 60% 급등하며 조 회장의 자산을 불렸다.,2025-03-07,60%,KOSIS_VALUE,개별기업,hcx,현재값,주가 상승률,메리츠,60,%,-,-,N,,N,,,,,,,
A0850-C005,A0850-C005-m2,최근 1년 사이에 메리츠는 주가가 60% 급등하며 조 회장의 자산을 불렸다.,2025-03-07,1년,CONTEXT,개별기업,claim_fallback,참고값,기간,-,1,년,2025-01-07/2025-03-07,M,N,,N,,,,,,,
A2049-C009,A2049-C009-m1,캐나다는 자동차 수출이 23% 급감하며 4월 무역 적자가 역대 월간 최대인 71억캐나다달러(약 7조500억원)를 기록했다.,2025-06-07,23%,KOSIS_VALUE,해외통계·정책,hcx,현재값,자동차 수출 감소율,자동차,23,%,-,-,N,,N,,,,,,,
A2049-C009,A2049-C009-m2,캐나다는 자동차 수출이 23% 급감하며 4월 무역 적자가 역대 월간 최대인 71억캐나다달러(약 7조500억원)를 기록했다.,2025-06-07,71억캐나다달러,KOSIS_VALUE,해외통계·정책,hcx,현재값,무역 적자,자동차,7.1E+11,캐나다달러,-,-,N,,N,,,,,,,
A2049-C009,A2049-C009-m3,캐나다는 자동차 수출이 23% 급감하며 4월 무역 적자가 역대 월간 최대인 71억캐나다달러(약 7조500억원)를 기록했다.,2025-06-07,7조500억원,KOSIS_VALUE,해외통계·정책,hcx,참고값,무역 적자,자동차,7.05E+12,원,-,-,N,,N,,,,,,,
A1032-C018,A1032-C018-m1,1970년대식 스태그플레이션 가능성에 대한 질문에 “현재 우리는 실업률이 완전고용에 근접한 4.1%를 유지하는 동안에도 인플레이션이 2%에 가깝게 둔화하는 상황에 있다”며 “우리가 (1970년대의) 그런 상황에 직면했다고 보지 않는다”고 했다.,2025-03-21,4.10%,KOSIS_VALUE,해외통계·정책,hcx,현재값,실업률,-,4.1,%,-,-,N,,Y,,,,,,,
A1032-C018,A1032-C018-m2,1970년대식 스태그플레이션 가능성에 대한 질문에 “현재 우리는 실업률이 완전고용에 근접한 4.1%를 유지하는 동안에도 인플레이션이 2%에 가깝게 둔화하는 상황에 있다”며 “우리가 (1970년대의) 그런 상황에 직면했다고 보지 않는다”고 했다.,2025-03-21,2%,KOSIS_VALUE,해외통계·정책,hcx,현재값,인플레이션,-,2,%,-,-,N,,Y,,,,,,,
A2211-C005,A2211-C005-m1,10조3000억원이 투입되는 민생 회복 소비 쿠폰은 15만~42만원의 전 국민 지원금과 소득 하위 90%에 한정한 10만원의 선별 지원금으로 나뉜다.,2025-06-20,10조3000억원,POLICY_VALUE,개별기업,claim_fallback,현재값,세입 경정 추경,-,1.03E+13,원,202506,M,N,,N,,,,,,,
A2211-C005,A2211-C005-m2,10조3000억원이 투입되는 민생 회복 소비 쿠폰은 15만~42만원의 전 국민 지원금과 소득 하위 90%에 한정한 10만원의 선별 지원금으로 나뉜다.,2025-06-20,15만원,POLICY_VALUE,개별기업,claim_fallback,현재값,민생 회복 소비 쿠폰,-,150000,원,202506,M,N,,N,,,,,,,
A2211-C005,A2211-C005-m3,10조3000억원이 투입되는 민생 회복 소비 쿠폰은 15만~42만원의 전 국민 지원금과 소득 하위 90%에 한정한 10만원의 선별 지원금으로 나뉜다.,2025-06-20,42만원,POLICY_VALUE,개별기업,claim_fallback,현재값,민생 회복 소비 쿠폰,-,420000,원,202506,M,N,,N,,,,,,,
A2211-C005,A2211-C005-m4,10조3000억원이 투입되는 민생 회복 소비 쿠폰은 15만~42만원의 전 국민 지원금과 소득 하위 90%에 한정한 10만원의 선별 지원금으로 나뉜다.,2025-06-20,90%,POLICY_VALUE,개별기업,claim_fallback,현재값,소득 하위 비율,-,90,%,202506,M,N,,N,,,,,,,
A2211-C005,A2211-C005-m5,10조3000억원이 투입되는 민생 회복 소비 쿠폰은 15만~42만원의 전 국민 지원금과 소득 하위 90%에 한정한 10만원의 선별 지원금으로 나뉜다.,2025-06-20,10만원,POLICY_VALUE,개별기업,claim_fallback,현재값,선별 지원금,-,100000,원,202506,M,N,,N,,,,,,,
A1297-C018,A1297-C018-m1,김승연 한화 회장(2376억원 증가)은 ‘방산(防産)의 힘‘을 톡톡히 봤다.,2025-04-10,2376억원,KOSIS_VALUE,개별기업,hcx,현재값,주식 재산 증가액,-,2.376E+11,원,-,-,N,,N,,,,,,,
A1423-C011,A1423-C011-m1,"그 중 개인과 일반 법인에 판매된 금액이 각각 1970억원, 3119억원이다.",2025-04-20,1970억원,KOSIS_VALUE,국내공식통계,hcx,현재값,판매액,개인,1.97E+11,원,-,-,N,,N,,,,,,,
A1423-C011,A1423-C011-m2,"그 중 개인과 일반 법인에 판매된 금액이 각각 1970억원, 3119억원이다.",2025-04-20,3119억원,KOSIS_VALUE,국내공식통계,hcx,현재값,판매액,일반 법인,3.119E+11,원,-,-,N,,N,,,,,,,
A2460-C023,A2460-C023-m1,신한투자증권 안재균 연구원은 “2월부터 전국 주택 매매 및 전세 거래량이 10만호를 넘어섰고 이에 따른 가계대출 증가도 불가피했다”라며 “대선(6월 5일) 전후 서울 동남권 아파트 중심 가격 오름세가 확대되고 공교롭게도 지난 5월 기준금리 인하 후 가계대출 증가 속도가 빨라져 7월 금통위는 (가계대출 통제 등) 금융안정 측면을 가장 먼저 고려할 공산이 커졌다”라고 했다.,2025-07-09,10만호,KOSIS_VALUE,국내공식통계,hcx,현재값,전국 주택 매매 및 전세 거래량,-,100000,호,-,-,N,,N,,,,,,,
A2678-C017,A2678-C017-m1,"지난달 들어 상수도료는 3.8%, 도시가스는 0.4%, 지역난방비는 0.3% 올랐다.",2025-11-04,3.80%,KOSIS_VALUE,국내공식통계,hcx,증감률,상수도료,상수도,3.8,%,-,-,N,,Y,,,,,,,
A2678-C017,A2678-C017-m2,"지난달 들어 상수도료는 3.8%, 도시가스는 0.4%, 지역난방비는 0.3% 올랐다.",2025-11-04,0.40%,KOSIS_VALUE,국내공식통계,hcx,증감률,도시가스,도시가스,0.4,%,-,-,N,,Y,,,,,,,
A2678-C017,A2678-C017-m3,"지난달 들어 상수도료는 3.8%, 도시가스는 0.4%, 지역난방비는 0.3% 올랐다.",2025-11-04,0.30%,KOSIS_VALUE,국내공식통계,hcx,증감률,지역난방비,지역난방,0.3,%,-,-,N,,Y,,,,,,,
A1246-C009,A1246-C009-m1,지난해 자동차부문 보험손익 합산비율(손해율+사업비율)은 손익분기점인 100%를 초과해 97억원 적자를 기록했다.,2025-04-06,100%,CONDITION,국내공식통계,hcx,참고값,합산비율,-,100,%,2024,Y,N,,N,,,,,,,
A1383-C003,A1383-C003-m2,농가에서 65세 이상 고령 인구가 차지하는 비율도 지난해 기준 55.8%로 해마다 계속 상승하면서 농촌 소멸 우려가 현실화되고 있다는 분석이 나온다.,2025-04-17,65세,CONDITION,국내공식통계,hcx,참고값,고령 인구 기준,-,65,세,2024,Y,N,,Y,,,,,,,
A1389-C002,A1389-C002-m1,"업권별로 보면 은행의 당기순이익이 16조3000억원으로, 1년 사이에 1조원 가까이 늘었다.",2025-04-17,16조3000억원,KOSIS_VALUE,국내공식통계,hcx,현재값,은행 당기순이익,-,1.63E+13,원,-,-,N,,N,,,,,,,
A1389-C002,A1389-C002-m2,"업권별로 보면 은행의 당기순이익이 16조3000억원으로, 1년 사이에 1조원 가까이 늘었다.",2025-04-17,1조원 가까이 늘었다.,KOSIS_VALUE,국내공식통계,hcx,증감값,은행 당기순이익 증감,-,1E+12,원,-,-,N,,N,,,,,,,
