claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,prev_prev_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_eligible,mapping_exclusion_code,mapping_exclusion_reason
A0006-C007,A0006-C007-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,이에 2018년(697억 달러 흑자) 이후 최대 흑자를 기록하게 됐다.,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,국내공식통계,N,무역,흑자,"수출, 무역수지, 흑자",-,-,-,,-,-,-,2018,-,Y,확정,697억 달러,KOSIS_VALUE,hcx,흑자,-,2018,Y,hcx,현재값,69700000000,-,-,N,달러,수준값,유지,전년,이에 2018년(697억 달러 흑자) 이후 최대 흑자를 기록하게 됐다.,high,N,-,N,0,0,HCX-007,v1.6-prev2-context,2026-07-30,흑자,,2025,Y,달러,달러,currency,amount,unspecified,,Y,,
A0006-C009,A0006-C009-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","지난해 유가가 하향 안정화된 가운데 반도체 등 IT 품목, 선박·자동차 등 주력 품목과 바이오헬스·농수산식품·화장품 등 소비재 품목이 고르게 호조를 보이면서 역대 최대 수출 실적과 무역수지 흑자를 동시에 기록했다.",이에 2018년(697억 달러 흑자) 이후 최대 흑자를 기록하게 됐다.,국내공식통계,Y,무역,반도체 수출액,"수출, 반도체, 자동차, 바이오, 농수산, 화장품",-,-,-,반도체,-,-,-,2024,-,Y,확정,1419억 달러,KOSIS_VALUE,hcx,반도체 수출액,반도체,2024,Y,hcx,현재값,141900000000,-,-,N,달러,수준값,증가,전년,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",high,N,-,Y,0,0,HCX-007,v1.6-prev2-context,2026-07-30,수출액,,2024,Y,달러,달러,currency,amount,vehicle,,Y,,
A0006-C009,A0006-C009-m2,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","지난해 유가가 하향 안정화된 가운데 반도체 등 IT 품목, 선박·자동차 등 주력 품목과 바이오헬스·농수산식품·화장품 등 소비재 품목이 고르게 호조를 보이면서 역대 최대 수출 실적과 무역수지 흑자를 동시에 기록했다.",이에 2018년(697억 달러 흑자) 이후 최대 흑자를 기록하게 됐다.,국내공식통계,Y,무역,반도체 수출 증감률,"수출, 반도체, 자동차, 바이오, 농수산, 화장품",-,-,-,반도체,-,-,-,2024,-,Y,확정,43.9%,KOSIS_VALUE,hcx,반도체 수출 증감률,반도체,2024,Y,hcx,증감률,43.9,-,-,N,%,증감률,증가,전년,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",high,N,-,Y,0,0,HCX-007,v1.6-prev2-context,2026-07-30,수출액,,2024,Y,%,%,rate,rate_change,vehicle,2023,Y,,
A0006-C009,A0006-C009-m3,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","지난해 유가가 하향 안정화된 가운데 반도체 등 IT 품목, 선박·자동차 등 주력 품목과 바이오헬스·농수산식품·화장품 등 소비재 품목이 고르게 호조를 보이면서 역대 최대 수출 실적과 무역수지 흑자를 동시에 기록했다.",이에 2018년(697억 달러 흑자) 이후 최대 흑자를 기록하게 됐다.,국내공식통계,Y,무역,반도체 수출액,"수출, 반도체, 자동차, 바이오, 농수산, 화장품",-,-,-,반도체,-,-,-,2022,-,Y,확정,1292억 달러,KOSIS_VALUE,hcx,반도체 수출액,반도체,2022,Y,hcx,이전값,129200000000,-,-,N,달러,수준값,증가,전년동기,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",high,N,-,Y,0,0,HCX-007,v1.6-prev2-context,2026-07-30,수출액,,2024,Y,달러,달러,currency,amount,vehicle,,Y,,
A0006-C011,A0006-C011-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.","◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",국내공식통계,Y,무역,자동차 수출,"수출, 자동차, 완성차, 부품업계, 생산 차질",-,-,-,자동차,-,-,-,2024,-,Y,확정,708억 달러,KOSIS_VALUE,hcx,자동차 수출,자동차,2024,Y,hcx,현재값,70800000000,-,-,N,달러,수준값,유지,전년,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.",high,N,-,Y,0,0,HCX-007,v1.6-prev2-context,2026-07-30,자동차 수출,자동차,2024,Y,달러,달러,currency,amount,vehicle,,Y,,
A0006-C011,A0006-C011-m2,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.","◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",국내공식통계,Y,무역,변화율,"수출, 자동차, 완성차, 부품업계, 생산 차질",-,-,-,자동차,-,-,-,2024,-,Y,확정,0.1%,KOSIS_VALUE,hcx,변화율,자동차,2024,Y,hcx,참고값,0.1,-,-,N,%,증감률,감소,전년,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.",high,N,-,Y,0,0,HCX-007,v1.6-prev2-context,2026-07-30,자동차 수출,자동차,2024,Y,%,%,rate,rate_change,vehicle,2023,Y,,
A0006-C012,A0006-C012-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"선박 수출은 2021년 높은 선가로 수주한 LNG 운반선, 대형 컨테이너선 등 고부가 선박이 본격 수출되면서 두 자릿수(18%) 증가한 256억 달러를 기록했다.","자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.",국내공식통계,N,무역,선박 수출 증감률,"LNG 운반선, 대형 컨테이너선, 고부가 선박",-,-,-,고부가 선박,-,-,-,2024,-,Y,확정,18%,KOSIS_VALUE,hcx,선박 수출 증감률,고부가 선박,2024,Y,hcx,증감률,18,-,-,N,%,증감률,증가,전년,"선박 수출은 2021년 높은 선가로 수주한 LNG 운반선, 대형 컨테이너선 등 고부가 선박이 본격 수출되면서 두 자릿수(18%) 증가한 256억 달러를 기록했다.",high,N,-,N,0,0,HCX-007,v1.6-prev2-context,2026-07-30,선박 수출,선박,2024,Y,%,%,rate,rate_change,vehicle,2023,Y,,
A0006-C012,A0006-C012-m2,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"선박 수출은 2021년 높은 선가로 수주한 LNG 운반선, 대형 컨테이너선 등 고부가 선박이 본격 수출되면서 두 자릿수(18%) 증가한 256억 달러를 기록했다.","자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.",국내공식통계,N,무역,선박 수출,"LNG 운반선, 대형 컨테이너선, 고부가 선박",-,-,-,고부가 선박,-,-,-,2024,-,Y,확정,256억 달러,KOSIS_VALUE,hcx,선박 수출,고부가 선박,2024,Y,hcx,현재값,25600000000,-,-,N,달러,수준값,증가,전년,"선박 수출은 2021년 높은 선가로 수주한 LNG 운반선, 대형 컨테이너선 등 고부가 선박이 본격 수출되면서 두 자릿수(18%) 증가한 256억 달러를 기록했다.",high,N,-,N,0,0,HCX-007,v1.6-prev2-context,2026-07-30,선박 수출,선박,2024,Y,달러,달러,currency,amount,vehicle,,Y,,
A0006-C013,A0006-C013-m1,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.","선박 수출은 2021년 높은 선가로 수주한 LNG 운반선, 대형 컨테이너선 등 고부가 선박이 본격 수출되면서 두 자릿수(18%) 증가한 256억 달러를 기록했다.","자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.",국내공식통계,Y,무역,석유화학 수출액,"수출, 석유화학, 달러",-,-,-,석유화학,-,-,-,2024,-,Y,확정,480억 달러,KOSIS_VALUE,hcx,석유화학 수출액,석유화학,2024,Y,hcx,현재값,48000000000,-,-,N,달러,수준값,증가,전년,"석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.",high,N,-,N,0,0,HCX-007,v1.6-prev2-context,2026-07-30,석유화학 수출액,석유화학,2024,Y,달러,달러,currency,amount,item,,Y,,
A0006-C013,A0006-C013-m2,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.","선박 수출은 2021년 높은 선가로 수주한 LNG 운반선, 대형 컨테이너선 등 고부가 선박이 본격 수출되면서 두 자릿수(18%) 증가한 256억 달러를 기록했다.","자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.",국내공식통계,Y,무역,석유화학 수출 증가율,"수출, 석유화학, 달러",-,-,-,석유화학,-,-,-,2024,-,Y,확정,5%,KOSIS_VALUE,hcx,석유화학 수출 증가율,석유화학,2024,Y,hcx,증감률,5,-,-,N,%,증감률,증가,전년,"석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.",high,N,-,N,0,0,HCX-007,v1.6-prev2-context,2026-07-30,석유화학 수출액,석유화학,2024,Y,%,%,rate,rate_change,item,2023,Y,,
