claim_id,claim_measurement_id,claim_text,date,measurement_text,measurement_usage,claim_domain_scope,measurement_binding_source,measurement_role,measurement_indicator,measurement_item,value,unit,measurement_period,measurement_prd_se,in_ready,cand_tbl_ids,gold_verifiable,gold_measurement_correct,gold_org_id,gold_tbl_id,gold_obj_l1,gold_obj_l2,gold_obj_l3,gold_itm_id,gold_verdict,gold_actual_value
A2700-C033,A2700-C033-m1,지역별로는 동남아시아 수출이 556억달러(약 81조원)로 17.4% 급증하며 분기 기준 최대치를 기록했다.,2025-11-10,556억달러,KOSIS_VALUE,국내공식통계,hcx,현재값,수출액,동남아시아 수출,55600000000,달러,-,-,N,,Y,Y,,,,,,,,
A2700-C033,A2700-C033-m2,지역별로는 동남아시아 수출이 556억달러(약 81조원)로 17.4% 급증하며 분기 기준 최대치를 기록했다.,2025-11-10,81조원,KOSIS_VALUE,국내공식통계,hcx,현재값,수출액,동남아시아 수출,8.10E+13,원,-,-,N,,Y,Y,,,,,,,,
A2700-C033,A2700-C033-m3,지역별로는 동남아시아 수출이 556억달러(약 81조원)로 17.4% 급증하며 분기 기준 최대치를 기록했다.,2025-11-10,17.40%,KOSIS_VALUE,국내공식통계,hcx,현재값,수출 증가율,동남아시아 수출,17.4,%,-,-,N,,Y,N,,,,,,,,
A2700-C034,A2700-C034-m1,"미국 수출은 293억달러로 3.9% 감소했고, 중국은 337억달러로 1.8% 줄었다.",2025-11-10,293억달러,KOSIS_VALUE,해외통계·정책,hcx,현재값,미국 수출액,미국,29300000000,달러,-,-,N,,Y,Y,,,,,,,,
A2700-C034,A2700-C034-m2,"미국 수출은 293억달러로 3.9% 감소했고, 중국은 337억달러로 1.8% 줄었다.",2025-11-10,3.90%,KOSIS_VALUE,해외통계·정책,hcx,증감률,미국 수출 증감률,미국,3.9,%,-,-,N,,Y,Y,,,,,,,,
A2700-C034,A2700-C034-m3,"미국 수출은 293억달러로 3.9% 감소했고, 중국은 337억달러로 1.8% 줄었다.",2025-11-10,337억달러,KOSIS_VALUE,해외통계·정책,hcx,현재값,중국 수출액,중국,33700000000,달러,-,-,N,,Y,Y,,,,,,,,
A2700-C034,A2700-C034-m4,"미국 수출은 293억달러로 3.9% 감소했고, 중국은 337억달러로 1.8% 줄었다.",2025-11-10,1.80%,KOSIS_VALUE,해외통계·정책,hcx,증감률,중국 수출 증감률,중국,1.8,%,-,-,N,,Y,Y,,,,,,,,
A2700-C035,A2700-C035-m1,"산업별로는 광제조업이 1595억달러로 8.0% 늘었고, 전기전자(15.0%)와 운송장비(9.3%) 수출이 크게 증가했다.",2025-11-10,1595억달러,KOSIS_VALUE,국내공식통계,hcx,현재값,광제조업 수출액,광제조업,1.60E+11,달러,-,-,N,,Y,Y,,,,,,,,
A2700-C035,A2700-C035-m2,"산업별로는 광제조업이 1595억달러로 8.0% 늘었고, 전기전자(15.0%)와 운송장비(9.3%) 수출이 크게 증가했다.",2025-11-10,8.00%,KOSIS_VALUE,국내공식통계,hcx,증감률,광제조업 수출 증가율,광제조업,8,%,-,-,N,,Y,Y,,,,,,,,
A2700-C035,A2700-C035-m3,"산업별로는 광제조업이 1595억달러로 8.0% 늘었고, 전기전자(15.0%)와 운송장비(9.3%) 수출이 크게 증가했다.",2025-11-10,15.00%,KOSIS_VALUE,국내공식통계,hcx,증감률,전기전자 수출 증가율,전기전자,15,%,-,-,N,,Y,Y,,,,,,,,
A2700-C035,A2700-C035-m4,"산업별로는 광제조업이 1595억달러로 8.0% 늘었고, 전기전자(15.0%)와 운송장비(9.3%) 수출이 크게 증가했다.",2025-11-10,9.30%,KOSIS_VALUE,국내공식통계,hcx,증감률,운송장비 수출 증가율,운송장비,9.3,%,-,-,N,,Y,Y,,,,,,,,
A2701-C004,A2701-C004-m1,"10일 국가데이터처와 관세청이 발표한 '2025년 3분기 기준 기업 특성별 무역통계 결과(잠정)'에 따르면, 3분기 수출액은 1850억달러로 지난해 같은 기간보다 6.5% 증가했다.",2025-11-10,1850억달러,KOSIS_VALUE,국내공식통계,hcx,현재값,수출액,-,1.85E+11,달러,2025Q3,Q,Y,,Y,Y,101,DT_1TEC_P228,A01,H00,E00,T20,일치,1848.87억 달러
A2701-C004,A2701-C004-m2,"10일 국가데이터처와 관세청이 발표한 '2025년 3분기 기준 기업 특성별 무역통계 결과(잠정)'에 따르면, 3분기 수출액은 1850억달러로 지난해 같은 기간보다 6.5% 증가했다.",2025-11-10,6.50%,KOSIS_VALUE,국내공식통계,hcx,증감률,수출액 증감률,-,6.5,%,2025Q3,Q,Y,,Y,Y,101,DT_1TEC_P228,A01,H00,E00,T20,일치,6.47%
A2701-C005,A2701-C005-m1,"대기업(5.1%), 중견기업(7.0%), 중소기업(11.9%) 모두 전년 동기 대비 3분기 수출이 늘었다.",2025-11-10,5.10%,KOSIS_VALUE,국내공식통계,hcx,증감률,수출액 증감률,대기업,5.1,%,2025Q3,Q,Y,,Y,Y,101,DT_1TEC_P228,A01,H00,E10,T20,일치,5.04%
A2701-C005,A2701-C005-m2,"대기업(5.1%), 중견기업(7.0%), 중소기업(11.9%) 모두 전년 동기 대비 3분기 수출이 늘었다.",2025-11-10,7.00%,KOSIS_VALUE,국내공식통계,hcx,증감률,수출액 증감률,중견기업,7,%,2025Q3,Q,Y,,Y,Y,101,DT_1TEC_P228,A01,H00,E20,T20,?,7.76%
A2701-C005,A2701-C005-m3,"대기업(5.1%), 중견기업(7.0%), 중소기업(11.9%) 모두 전년 동기 대비 3분기 수출이 늘었다.",2025-11-10,11.90%,KOSIS_VALUE,국내공식통계,hcx,증감률,수출액 증감률,중소기업,11.9,%,2025Q3,Q,Y,,Y,Y,101,DT_1TEC_P228,A01,H00,E30,T20,?,10.89%
A2701-C007,A2701-C007-m1,"전기전자, 운송장비 부문에서 수출이 늘면서, 광·제조업 수출액은 전년도 3분기 대비 8% 증가했다.",2025-11-10,8%,KOSIS_VALUE,국내공식통계,hcx,증감률,광·제조업 수출액,-,8,%,-,-,N,,Y,Y,,,,,,,,
A2701-C008,A2701-C008-m1,특히 SK하이닉스의 고대역폭 메모리(HBM) 수출이 급증해 수출 상위 10대 기업의 무역 집중도(40%)는 역대 최고치를 기록했다.,2025-11-10,10대,KOSIS_VALUE,국내공식통계,hcx,현재값,수출 상위 10대 기업,반도체,10,대,-,-,N,,Y,Y,,,,,,,,
A2701-C008,A2701-C008-m2,특히 SK하이닉스의 고대역폭 메모리(HBM) 수출이 급증해 수출 상위 10대 기업의 무역 집중도(40%)는 역대 최고치를 기록했다.,2025-11-10,40%,KOSIS_VALUE,국내공식통계,hcx,현재값,무역 집중도,반도체,40,%,-,-,N,,Y,Y,,,,,,,,
A2701-C009,A2701-C009-m1,"국가데이터처 관계자는 ""대기업, 중견기업, 중소기업 할 것 없이 모두 수출이 증가했지만, 반도체 수출이 크게 늘어나면서 10대 기업의 무역 집중도가 사상 최대치를 나타냈다""고 설명했다.",2025-11-10,10대,KOSIS_VALUE,국내공식통계,hcx,현재값,무역 집중도,-,10,대,2025Q3,Q,Y,,Y,Y,101,DT_1TEC_N314,A01,M00,F20,T20,일치,10
A2701-C011,A2701-C011-m1,"국가별로 보면 미국으로의 수출액은 전년 동기 대비 3.9% 줄었고, 중국은 1.8% 감소했다.",2025-11-10,3.90%,KOSIS_VALUE,해외통계·정책,hcx,증감률,수출액,미국,3.9,%,2025Q3,Q,N,,Y,Y,,,,,,,,
A2701-C011,A2701-C011-m2,"국가별로 보면 미국으로의 수출액은 전년 동기 대비 3.9% 줄었고, 중국은 1.8% 감소했다.",2025-11-10,1.80%,KOSIS_VALUE,해외통계·정책,hcx,증감률,수출액,중국,1.8,%,2025Q3,Q,N,,Y,Y,,,,,,,,
A2701-C012,A2701-C012-m1,"반면 동남아 지역으로의 수출은 전년 동기 대비 17.4% 늘었고, 유럽연합(EU) 지역은 5.8%, 독립국가연합(CIS) 지역은 28% 증가했다.",2025-11-10,17.40%,KOSIS_VALUE,해외통계·정책,hcx,증감률,수출액 증가율,동남아,17.4,%,-,-,N,,Y,Y,,,,,,,,
