claim_id,claim_measurement_id,claim_text,date,measurement_text,measurement_usage,claim_domain_scope,measurement_binding_source,measurement_role,measurement_indicator,measurement_item,value,unit,measurement_period,measurement_prd_se,in_ready,cand_tbl_ids,gold_verifiable,gold_measurement_correct,gold_org_id,gold_tbl_id,gold_obj_l1,gold_itm_id,gold_verdict,gold_actual_value,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_eligible,mapping_exclusion_code,mapping_exclusion_reason
A0003-C013,A0003-C013-m3,"골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.",2025-01-01,60세,CONDITION,국내공식통계,claim_fallback,현재값,국가건강검진 대상 연령,여성,60,세,2025,Y,N,,N,Y,,,,,,,,,,,세,세,age,condition,item,,N,NOT_KOSIS_VALUE,measurement_usage=CONDITION
A0003-C015,A0003-C015-m1,지원 대상은 중위소득 150% 이하 가구이며 자녀 1인당 월 20만원을 만 18세까지 지원받는다.,2025-01-01,150%,CONDITION,해외통계·정책,claim_fallback,참고값,중위소득 비율,-,150,%,2025,Y,N,,N,Y,,,,,,,,,,,%,%,rate,rate_level,household,,N,NOT_KOSIS_VALUE,measurement_usage=CONDITION
A0003-C015,A0003-C015-m2,지원 대상은 중위소득 150% 이하 가구이며 자녀 1인당 월 20만원을 만 18세까지 지원받는다.,2025-01-01,20만원,POLICY_VALUE,해외통계·정책,claim_fallback,현재값,양육비 지원금액,-,200000,원,2025,Y,N,,N,Y,,,,,,,,,,,원,원,currency,amount,household,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C015,A0003-C015-m3,지원 대상은 중위소득 150% 이하 가구이며 자녀 1인당 월 20만원을 만 18세까지 지원받는다.,2025-01-01,18세,CONDITION,해외통계·정책,claim_fallback,참고값,지원 연령,-,18,세,2025,Y,N,,N,Y,,,,,,,,,,,세,세,age,condition,household,,N,NOT_KOSIS_VALUE,measurement_usage=CONDITION
A0003-C031,A0003-C031-m1,▲ 맞벌이 가구의 근로장려금 수급 요건 완화 =맞벌이 가구가 근로장려금을 받기 위한 소득기준이 연 3800만원 미만에서 연 4400만원 미만으로 확대된다.,2025-01-01,3800만원,CONDITION,기타,claim_fallback,참고값,근로장려금 수급 요건 소득기준,-,38000000,원,2025,Y,N,,N,N,,,,,,,,,,,원,원,currency,amount,household,,N,NOT_KOSIS_VALUE,measurement_usage=CONDITION
A0003-C031,A0003-C031-m2,▲ 맞벌이 가구의 근로장려금 수급 요건 완화 =맞벌이 가구가 근로장려금을 받기 위한 소득기준이 연 3800만원 미만에서 연 4400만원 미만으로 확대된다.,2025-01-01,4400만원,CONDITION,기타,claim_fallback,참고값,근로장려금 수급 요건 소득기준,-,44000000,원,2025,Y,N,,N,Y,,,,,,,,,,,원,원,currency,amount,household,,N,NOT_KOSIS_VALUE,measurement_usage=CONDITION
A0003-C039,A0003-C039-m1,▲ 국가장학금 지원 대폭 확대 =국가장학금 I유형과 다자녀 장학금 지원 대상을 100만명에서 150만명으로 확대해 1인당 최대 100만원을 지원한다.,2025-01-01,100만명,POLICY_VALUE,해외통계·정책,claim_fallback,이전값,국가장학금 지원 대상 인원,-,1000000,명,2025,-,N,,N,N,,,,,,,,,,,명,명,person_count,count,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C039,A0003-C039-m2,▲ 국가장학금 지원 대폭 확대 =국가장학금 I유형과 다자녀 장학금 지원 대상을 100만명에서 150만명으로 확대해 1인당 최대 100만원을 지원한다.,2025-01-01,150만명,POLICY_VALUE,해외통계·정책,claim_fallback,현재값,국가장학금 지원 대상 인원,-,1500000,명,2025,-,N,,N,Y,,,,,,,,,,,명,명,person_count,count,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C039,A0003-C039-m3,▲ 국가장학금 지원 대폭 확대 =국가장학금 I유형과 다자녀 장학금 지원 대상을 100만명에서 150만명으로 확대해 1인당 최대 100만원을 지원한다.,2025-01-01,100만원,POLICY_VALUE,해외통계·정책,claim_fallback,목표값,1인당 최대 지원 금액,-,1000000,원,2025,-,N,,N,Y,,,,,,,,,,,원,원,currency,amount,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C040,A0003-C040-m1,"국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",2025-01-01,14만명,POLICY_VALUE,해외통계·정책,claim_fallback,이전값,국가근로장학금 수혜 인원,-,140000,명,2025,Y,N,,N,N,,,,,,,,,,,명,명,person_count,count,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C040,A0003-C040-m2,"국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",2025-01-01,20만명,POLICY_VALUE,해외통계·정책,claim_fallback,현재값,국가근로장학금 수혜 인원,-,200000,명,2025,Y,N,,N,Y,,,,,,,,,,,명,명,person_count,count,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C040,A0003-C040-m3,"국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",2025-01-01,240만원,POLICY_VALUE,해외통계·정책,claim_fallback,목표값,주거안정장학금 지원금액,-,2400000,원,2025,Y,N,,N,Y,,,,,,,,,,,원,원,currency,amount,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C041,A0003-C041-m1,▲ 병 봉급 인상 =병 봉급을 병장 기준 월 125만원에서 150만원으로 늘린다.,2025-01-01,병장 기준 월 125만원,POLICY_VALUE,개별기업,claim_fallback,이전값,병 봉급,-,1250000,원,2025,Y,N,,N,N,,,,,,,,,,,원,원,currency,amount,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C041,A0003-C041-m2,▲ 병 봉급 인상 =병 봉급을 병장 기준 월 125만원에서 150만원으로 늘린다.,2025-01-01,병장 기준 월 150만원,POLICY_VALUE,개별기업,claim_fallback,현재값,병 봉급,-,1500000,원,2025,Y,N,,N,Y,,,,,,,,,,,원,원,currency,amount,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C043,A0003-C043-m1,장병 내일준비적금의 정부 지원금도 월 최대 40만원에서 55만원으로 오른다.,2025-01-01,40만원,POLICY_VALUE,개별기업,claim_fallback,이전값,정부 지원금,-,400000,원,2025,Y,N,,N,N,,,,,,,,,,,원,원,currency,amount,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C043,A0003-C043-m2,장병 내일준비적금의 정부 지원금도 월 최대 40만원에서 55만원으로 오른다.,2025-01-01,55만원,POLICY_VALUE,개별기업,hcx,현재값,정부 지원금,-,550000,원,2025,Y,N,,N,Y,,,,,,,,,,,원,원,currency,amount,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0003-C047,A0003-C047-m1,▲ 청년 대상 전기차 보조금 확대 =청년이 생애 첫 차로 전기 승용차를 구매하는 경우 국비 지원액의 20%를 추가 보조금으로 지원한다.,2025-01-01,20%,POLICY_VALUE,국내공식통계,hcx,증감률,전기차 보조금,-,20,%,2025,Y,N,,N,Y,,,,,,,,,,,%,%,rate,rate_change,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=POLICY_VALUE
A0004-C012,A0004-C012-m1,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.,2025-01-01,1012대,KOSIS_VALUE,해외통계·정책,hcx,현재값,로봇 밀도,-,1012,대,2023,Y,N,,N,N,,,,,,,,,,,대,대,count,count,unspecified,,N,OUT_OF_KOSIS_SCOPE,claim_domain_scope=해외통계·정책
A0004-C012,A0004-C012-m2,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.,2025-01-01,1만명,CONDITION,해외통계·정책,hcx,참고값,로봇 밀도,-,10000,명,2023,Y,N,,N,Y,,,,,,,,,,,명,명,person_count,count,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=CONDITION
A0004-C013,A0004-C013-m1,이미 우리나라는 로봇 밀도(공장 직원 한 명당 로봇수) 전 세계 1위 국가인 것이다.,2025-01-01,1위,KOSIS_VALUE,국내공식통계,hcx,현재값,로봇 밀도,-,1,위,2023,Y,N,,N,N,,,,,,,,,,,위,위,rank,rank,unspecified,,N,RANK_NOT_DIRECTLY_COMPARABLE,순위는 KOSIS 원자료와 직접 비교하지 않음
A0004-C015,A0004-C015-m1,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.,2025-01-01,1만명당 162대,KOSIS_VALUE,국내공식통계,hcx,현재값,로봇 보급률,-,162,대,-,-,N,,N,N,,,,,,,,,,,대,대,count,count,unspecified,,N,PERIOD_MISSING,measurement period 없음
A0004-C015,A0004-C015-m2,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.,2025-01-01,1만명,CONDITION,국내공식통계,claim_fallback,참고값,로봇 보급률,-,10000,명,2025,Y,N,,N,Y,,,,,,,,,,,명,명,person_count,count,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=CONDITION
A0004-C015,A0004-C015-m3,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.,2025-01-01,전 세계 평균,KOSIS_VALUE,국내공식통계,hcx,참고값,로봇 보급률,-,6,배,-,-,N,,N,Y,,,,,,,,,,,배,배,multiple,multiple,unspecified,,N,ROLE_NOT_DIRECT_TARGET,measurement_role=참고값
A0004-C020,A0004-C020-m1,◇로봇 밀도 1위의 나라 로봇 밀도는 그 나라의 제조업이 얼마나 자동화됐는지 평가하는 기본 지표로 여겨진다.,2025-01-01,1위,KOSIS_VALUE,국내공식통계,hcx,현재값,로봇 밀도,-,1,위,-,-,N,,N,Y,,,,,,,,,,,위,위,rank,rank,unspecified,,N,PERIOD_MISSING,measurement period 없음
A0004-C021,A0004-C021-m1,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",2025-01-01,1위,KOSIS_VALUE,국내공식통계,hcx,현재값,로봇 밀도 순위,-,1,위,-,-,N,,N,Y,,,,,,,,,,,위,위,rank,rank,unspecified,,N,PERIOD_MISSING,measurement period 없음
A0004-C044,A0004-C044-m1,이곳 관계자는 “로봇 자동화를 통해 생산량은 로봇을 들이기 이전보다 38% 올라갔고 원가도 45%가량 줄일 수 있었다”고 했다.,2025-01-01,38%,KOSIS_VALUE,개별기업,hcx,증감률,생산량 증가율,물티슈,38,%,-,-,N,,N,Y,,,,,,,,,,,%,%,rate,rate_change,item,,N,OUT_OF_KOSIS_SCOPE,claim_domain_scope=개별기업
A0004-C044,A0004-C044-m2,이곳 관계자는 “로봇 자동화를 통해 생산량은 로봇을 들이기 이전보다 38% 올라갔고 원가도 45%가량 줄일 수 있었다”고 했다.,2025-01-01,45%가량,KOSIS_VALUE,개별기업,hcx,증감률,원가 절감률,물티슈,45,%,-,-,N,,N,Y,,,,,,,,,,,%,%,rate,rate_change,item,,N,OUT_OF_KOSIS_SCOPE,claim_domain_scope=개별기업
A0004-C049,A0004-C049-m1,진흥원 관계자는 “아직 2024년 조사 결과가 나오진 않았지만 지난 3년보다 더 많은 증가율을 보였을 것으로 추정한다”고 했다.,2025-01-01,지난 3년,CONTEXT,국내공식통계,claim_fallback,참고값,로봇화에 뛰어든 기업의 기간,-,3,년,2024,Y,N,,N,N,,,,,,,,,,,년,년,duration,condition,organization,,N,NOT_KOSIS_VALUE,measurement_usage=CONTEXT
A0005-C004,A0005-C004-m1,이는 지난해 443개보다 2개 늘어난 역대 최대 규모다.,2025-01-01,443개,KOSIS_VALUE,개별기업,hcx,이전값,통합한국관 참여 기업 수,-,443,개,2024,Y,N,,N,Y,,,,,,,,,,,개,개,count,count,organization,,N,OUT_OF_KOSIS_SCOPE,claim_domain_scope=개별기업
A0005-C004,A0005-C004-m2,이는 지난해 443개보다 2개 늘어난 역대 최대 규모다.,2025-01-01,2개,KOSIS_VALUE,개별기업,hcx,증감값,통합한국관 참여 기업 증가 수,-,2,개,2025,Y,N,,N,Y,,,,,,,,,,,개,개,count,count,organization,,N,OUT_OF_KOSIS_SCOPE,claim_domain_scope=개별기업
A0005-C006,A0005-C006-m1,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.",2025-01-01,445개사,KOSIS_VALUE,개별기업,hcx,현재값,참가 기업 수,통합한국관,445,개,2025,Y,N,,N,Y,,,,,,,,,,,개사,개,count,count,organization,,N,OUT_OF_KOSIS_SCOPE,claim_domain_scope=개별기업
A0005-C006,A0005-C006-m2,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.",2025-01-01,455여개,KOSIS_VALUE,개별기업,hcx,현재값,참가 기업 수,중소·중견기업,455,개,2025,Y,N,,N,Y,,,,,,,,,,,개,개,count,count,organization,,N,OUT_OF_KOSIS_SCOPE,claim_domain_scope=개별기업
A0005-C006,A0005-C006-m3,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.",2025-01-01,900개사,KOSIS_VALUE,개별기업,hcx,현재값,참가 기업 수,전체 한국 기업,900,개,2025,Y,N,,N,Y,,,,,,,,,,,개사,개,count,count,organization,,N,OUT_OF_KOSIS_SCOPE,claim_domain_scope=개별기업
A0005-C007,A0005-C007-m1,전체 한국 기업 참가 숫자도 지난해보다 100개가량 늘어난 최대다.,2025-01-01,100개가량,KOSIS_VALUE,개별기업,hcx,현재값,참가 기업 수,-,100,개,2025,Y,N,,N,N,,,,,,,,,,,개,개,count,count,organization,,N,OUT_OF_KOSIS_SCOPE,claim_domain_scope=개별기업
A0006-C002,A0006-C002-m1,"이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",2025-01-01,6836억달러,KOSIS_VALUE,국내공식통계,hcx,이전값,수출액,-,6.84E+11,달러,2022,Y,N,,Y,Y,,,,,,,,,,,달러,달러,currency,amount,unspecified,,N,ROLE_NOT_DIRECT_TARGET,measurement_role=이전값
A0006-C002,A0006-C002-m2,"이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",2025-01-01,2년,CONTEXT,해외통계·정책,hcx,참고값,기간,-,2,년,2022,Y,N,,Y,N,,,,,,,,,,,년,년,duration,condition,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=CONTEXT
A0006-C003,A0006-C003-m1,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",2025-01-01,6위,KOSIS_VALUE,국내공식통계,hcx,현재값,세계 수출 순위,-,6,위,2023,Y,N,,N,N,,,,,,,,,,,위,위,rank,rank,unspecified,,N,RANK_NOT_DIRECTLY_COMPARABLE,순위는 KOSIS 원자료와 직접 비교하지 않음
A0006-C003,A0006-C003-m2,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",2025-01-01,8위,KOSIS_VALUE,국내공식통계,hcx,이전값,세계 수출 순위,-,8,위,2023,Y,N,,N,Y,,,,,,,,,,,위,위,rank,rank,unspecified,,N,ROLE_NOT_DIRECT_TARGET,measurement_role=이전값
A0006-C005,A0006-C005-m1,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,2025-01-01,472억달러,KOSIS_VALUE,국내공식통계,hcx,이전값,수출액,-,47200000000,달러,2022,Y,N,,Y,N,,,,,,,,,,,달러,달러,currency,amount,unspecified,,N,ROLE_NOT_DIRECT_TARGET,measurement_role=이전값
A0006-C005,A0006-C005-m2,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,2025-01-01,2022년,CONDITION,국내공식통계,rule_fallback,참고값,수출액,-,2022,년,2024,Y,N,,Y,N,,,,,,,,,,,년,년,duration,condition,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=CONDITION
A0006-C009,A0006-C009-m3,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",2025-01-01,1292억 달러,KOSIS_VALUE,국내공식통계,hcx,이전값,반도체 수출액,반도체,1.29E+11,달러,2022,Y,N,,Y,Y,,,,,,,,,,,달러,달러,currency,amount,vehicle,,N,ROLE_NOT_DIRECT_TARGET,measurement_role=이전값
A0006-C009,A0006-C009-m4,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",2025-01-01,14개월,CONTEXT,국내공식통계,hcx,참고값,반도체 수출 증가 기간,반도체,14,개월,2023,Y,N,,Y,Y,,,,,,,,,,,개월,개월,duration,condition,vehicle,,N,NOT_KOSIS_VALUE,measurement_usage=CONTEXT
A0006-C009,A0006-C009-m5,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",2025-01-01,2년,CONTEXT,국내공식통계,hcx,참고값,경신 주기,반도체,2,년,2022,Y,N,,Y,Y,,,,,,,,,,,년,년,duration,condition,vehicle,,N,NOT_KOSIS_VALUE,measurement_usage=CONTEXT
A0006-C011,A0006-C011-m3,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.",2025-01-01,700억 달러,CONDITION,국내공식통계,hcx,참고값,자동차 수출 목표치,자동차,70000000000,달러,2024,Y,N,,Y,Y,,,,,,,,,,,달러,달러,currency,amount,vehicle,,N,NOT_KOSIS_VALUE,measurement_usage=CONDITION
A0006-C011,A0006-C011-m4,"자동차 수출은 하반기 주요 완성차·부품업계 파업 등에 따른 일부 생산 차질 영향으로 전년도와 보합세인 708억 달러(-0.1%)를 기록하였으며, 2년 연속 700억 달러 이상의 호실적을 이어갔다.",2025-01-01,2년,CONTEXT,국내공식통계,rule_fallback,참고값,자동차 수출,자동차,2,년,2024,Y,N,,Y,Y,,,,,,,,,,,년,년,duration,condition,vehicle,,N,NOT_KOSIS_VALUE,measurement_usage=CONTEXT
A0006-C014,A0006-C014-m7,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.",2025-01-01,100억 달러,CONTEXT,국내공식통계,hcx,참고값,화장품 수출액 돌파 기준,화장품,10000000000,달러,2024,Y,N,,Y,Y,,,,,,,,,,,달러,달러,currency,amount,item,,N,NOT_KOSIS_VALUE,measurement_usage=CONTEXT
A0006-C015,A0006-C015-m3,◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,2025-01-01,5개월,CONTEXT,국내공식통계,hcx,참고값,수출 증가율 반등 기간,-,5,개월,202412,M,N,,Y,Y,,,,,,,,,,,개월,개월,duration,rate_change,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=CONTEXT
A0006-C016,A0006-C016-m1,15개월 연속 플러스 흐름을 이어간 것이다.,2025-01-01,15개월,CONTEXT,국내공식통계,claim_fallback,참고값,수출 지속 기간,-,15,개월,2024,Y,N,,Y,Y,,,,,,,,,,,개월,개월,duration,condition,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=CONTEXT
A0006-C017,A0006-C017-m1,특히 감소 추세를 보이던 수출 증가율이 5개월 만에 반등에 성공했다.,2025-01-01,5개월,CONTEXT,해외통계·정책,claim_fallback,참고값,반등 기간,-,5,개월,2024,M,N,,Y,Y,,,,,,,,,,,개월,개월,duration,condition,unspecified,,N,NOT_KOSIS_VALUE,measurement_usage=CONTEXT
A0007-C002,A0007-C002-m1,영국 항공 데이터분석 기관 시리움(Cirium)에 따르면 지난해 여객기 사고로 숨진 사람은 세계에서 318명에 이른다.,2025-01-01,318명,KOSIS_VALUE,해외통계·정책,hcx,현재값,항공 희생자 수,-,318,명,2024,Y,N,,N,N,,,,,,,,,,,명,명,person_count,count,unspecified,,N,OUT_OF_KOSIS_SCOPE,claim_domain_scope=해외통계·정책
A0009-C004,A0009-C004-m1,"31일 본지가 국토교통부의 항공 정비사 통계를 분석한 결과, 대한항공과 아시아나 2사 소속이 전체의 72.6%를 차지하는 것으로 나타났다.",2025-01-01,72.60%,KOSIS_VALUE,국내공식통계,hcx,현재값,정비사 비율,항공,72.6,%,-,-,N,,N,Y,,,,,,,,,,,%,%,rate,rate_level,person,,N,PERIOD_MISSING,measurement period 없음
A0009-C004,A0009-C004-m2,"31일 본지가 국토교통부의 항공 정비사 통계를 분석한 결과, 대한항공과 아시아나 2사 소속이 전체의 72.6%를 차지하는 것으로 나타났다.",2025-01-01,2사,CONTEXT,국내공식통계,claim_fallback,참고값,대형 항공사 수,항공,2,개,202501,M,N,,N,N,,,,,,,,,,,사,개,count,count,organization,,N,NOT_KOSIS_VALUE,measurement_usage=CONTEXT
A0009-C005,A0009-C005-m1,반면 운송 여객 수가 더 많은 LCC 10사(여객·화물 항공사 포함)의 정비사 비율은 27.4%에 그쳤다.,2025-01-01,27.40%,KOSIS_VALUE,국내공식통계,hcx,현재값,정비사 비율,LCC,27.4,%,-,-,N,,N,Y,,,,,,,,,,,%,%,rate,rate_level,person,,N,PERIOD_MISSING,measurement period 없음
